	GSM1449085	GSM1449086	GSM1449087	GSM1449088	GSM1449089	GSM1449090	GSM1449091	GSM1449092	GSM1449093	GSM1449094	GSM1449095	GSM1449096	GSM1449097	GSM1449098	GSM1449099	GSM1449100	GSM1449101	GSM1449102	GSM1449103	GSM1449104	GSM1449105	GSM1449106	GSM1449107	GSM1449108	GSM1449109	GSM1449110	GSM1449111	GSM1449112	GSM1449113	GSM1449114	GSM1449115	GSM1449116	GSM1449117	GSM1449118	GSM1449119	GSM1449120	GSM1449121	GSM1449122	GSM1449123	GSM1449124	GSM1449125	GSM1449126	GSM1449127	GSM1449128	GSM1449129	GSM1449130	GSM1449131	GSM1449132	GSM1449133	GSM1449134	GSM1449135	GSM1449136	GSM1449137	GSM1449138	GSM1449139	GSM1449140	GSM1449141	GSM1449142	GSM1449143	GSM1449144	GSM1449145	GSM1449146	GSM1449147	GSM1449148	GSM1449149	GSM1449150	GSM1449151	GSM1449152	GSM1449153	GSM1449154	GSM1449155	GSM1449156	GSM1449157	GSM1449158	GSM1449159	GSM1449160	GSM1449161	GSM1449162	GSM1449163	GSM1449164	GSM1449165	GSM1449166	GSM1449167	GSM1449168	GSM1449169	GSM1449170	GSM1449171	GSM1449172	GSM1449173	GSM1449174
Sirt1	7.23298839	8.247726963	13.57234727	12.45541316	12.04074116	12.30306822	6.759000833	7.964285935	1.724238565	8.97780225	12.98693968	12.96258277	15.43874145	16.05952566	10.32799009	10.46236082	11.9862352	11.09411524	10.81044264	12.74937129	11.71233235	9.199307911	8.372853778	8.956735054	10.62498524	10.4127843	12.18449161	12.17966603	10.61065732	10.20481834	8.481403934	8.616606877	9.523312424	10.72036123	12.07311255	11.61683835	11.37527165	10.36564566	8.707390547	9.774285612	9.51841803	9.926715293	11.3289563	11.70274433	7.950056998	12.07706905	11.77835973	12.18613735	8.302323916	0.0	9.671565388	10.11381251	9.293689924	10.36401149	5.514213869	7.417942338	7.099128422	5.96953414	8.398446636	8.807386501	7.850844472	8.403072753	7.878870682	7.704672096	7.638532302	8.179206076	5.988306547	7.539808045	6.41388515	7.243406614	7.398997782	7.440546051	7.680467173	6.823554726	7.520008197	8.412900316	8.528776042	7.703285029	7.180888222	8.127058657	8.108298628	8.440440751	8.766485803	9.541025236	10.24281275	8.772613839	7.546813542	5.547976352	7.815921258	8.333262268
Rbm3	5.650641889	6.744370108	12.64737779	12.26330498	11.69710726	11.64448159	3.986264952	7.125027293	0.0	8.155518382	13.06279485	12.43161397	14.97434402	15.92915456	6.631768197	6.801428944	7.637255363	6.908180949	7.676447646	9.075265769	8.000346073	6.968996588	6.553003452	6.478811307	6.634827546	5.511419335	7.735428797	6.908710605	6.280553185	6.492200158	3.111915093	6.008971108	8.133362733	6.41406729	7.433899804	7.775262675	6.432776719	6.79977973	2.568832349	6.036847838	6.963655929	5.875481511	7.244093072	8.069892524	5.051726093	8.971680375	4.589831681	8.041039252	5.000319326	0.0	5.268459786	6.38668826	5.102450772	6.539911122	5.346438189	4.879601568	3.77839487	3.403780811	3.947511613	6.328387755	4.72499125	4.055001381	5.069427646	5.459549579	4.938532421	2.53125181	4.46870021	2.819495216	0.0	4.900989614	4.565394043	3.117500924	2.797077516	2.803738555	4.927677034	4.255270478	6.092041068	5.738031461	5.355945156	5.420432011	4.721316412	5.140656536	6.153687366	6.096182224	7.864405637	4.801683278	5.691796829	3.304464628	5.605257608	5.817186476
Wwtr1	0.352681874	4.705971982	8.798117186	7.764542741	7.155684655	7.422045724	0.0	3.533964193	0.0	0.0	9.227012552	7.866300598	10.43291441	11.46170537	9.615467533	9.798703279	10.77831135	9.115692055	8.555219931	8.969228989	8.770433435	8.262170503	4.220214634	7.485552128	7.149736007	5.445353278	9.924102773	8.955826697	8.263586556	7.546884373	8.025135959	7.419864503	7.988346095	8.421733706	9.361811381	9.922135401	8.054462436	8.986522836	5.113345312	6.942907071	7.895614681	7.350607928	8.642630973	9.273645445	5.577808611	9.537525689	7.720648222	8.439445136	7.123503738	0.0	5.341390408	4.820461357	6.629114408	6.97467761	4.487897517	5.375975942	3.694877731	5.089614301	5.892786388	5.69806636	5.123159793	5.539144404	4.291144144	6.690767426	4.706052039	5.235896597	5.887234511	6.505253648	5.522964541	6.601049219	5.62057673	5.153924744	6.12871613	3.287345698	6.247070502	5.985226537	6.153254496	5.991623918	5.199094606	2.674745894	4.374299504	3.315398734	5.120727365	6.317542602	6.942439662	5.836729195	3.97087651	0.0	5.672238741	6.404220756
Actb	10.86163706	11.03631821	14.24012255	14.03999401	13.85905796	13.95899808	7.872848256	11.6039321	3.275139236	11.58954084	14.70546415	14.47349776	16.19312247	17.08976434	11.02258155	11.74523955	12.09927723	11.39816701	9.564810148	10.45051735	11.06265108	10.31331259	8.860061938	9.164807725	8.926463173	7.78447776	9.09879693	10.32926035	8.93839971	10.18399358	9.446004715	9.313216167	9.145903432	9.165046778	11.72020113	11.87245108	9.959135905	10.11361842	7.322356078	9.378263543	8.250159719	7.831905482	10.14902669	11.62041998	8.601671271	11.67302278	10.75002702	11.34488702	9.393109686	0.0	7.697964831	7.293422135	8.466999726	8.932146227	5.788222489	6.371502734	5.997125558	5.636432006	8.277905084	8.937271549	7.652664003	7.646157365	6.666717123	6.19683693	8.052306632	7.657118575	7.95304131	8.473893733	9.124148695	8.930616817	8.103157057	7.287050536	8.562206505	7.035446661	8.465762468	8.328950058	8.636775062	7.985941534	9.273600198	9.335849365	8.731057455	8.89464683	9.579496274	9.949058681	10.375939	9.47822473	6.056257513	6.23960802	7.654030936	8.323789938
Atf1	8.896208864	10.20799377	13.43772495	13.34537322	13.05228721	12.89852538	8.689997471	10.37428874	7.736021107	9.932961587	13.77251113	13.12737099	15.88378031	16.75962547	10.1532085	10.56418981	10.52145049	10.63549937	9.494083903	10.515038	9.496771483	8.346012028	8.060765263	8.844275949	8.94111098	8.121191336	10.64459664	9.32510153	8.817244118	8.946508034	8.450694999	7.195571678	8.50842255	8.640833099	10.78072932	10.8755863	8.833628776	8.647471189	6.706581261	7.9315107	7.23656501	7.622667849	9.275137007	10.20241301	6.155257219	10.32025311	10.48891987	10.45735442	8.03437502	0.0	7.857697022	7.718943645	8.507052872	7.609501503	8.089083333	7.892809984	6.94877832	7.683079289	7.409679694	8.463726127	7.991017522	7.976320503	8.350762358	7.008687175	7.396559069	6.954402258	7.287932708	7.182630152	7.253829363	8.231974846	6.578313607	6.692395897	7.186653237	6.727945537	7.733561003	7.848020239	7.383208618	7.710138026	7.470888098	7.837846617	7.56009379	8.051647255	8.129580232	7.916810103	10.03444775	8.250571271	7.454728544	6.206417423	7.269500926	7.185671754
Cdx2	0.0	0.0	2.622723185	5.309903643	4.859316416	3.967799286	0.0	4.457565049	0.0	0.0	6.468591997	5.566087659	6.689947858	8.147487924	0.0	0.0	0.0	0.0	0.0	3.528925408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.718077023	0.0	0.0	0.0	0.0	3.05188071	0.0	0.052420206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.823034333	0.0	3.187199923	0.0	2.135263564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99482357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dnmt3a	8.685563922	9.313873042	16.07374167	15.0855577	14.30454172	14.60527912	7.352188339	9.226722466	0.86364603	10.21392692	16.19248662	15.11128534	16.78057426	17.25872502	8.782110497	8.515861656	9.58651112	8.011706905	7.655227625	9.652925366	8.179521078	7.027779141	4.851898716	5.888755526	6.829613429	6.136845513	9.112922377	8.847264125	7.285348005	6.012699762	4.785932685	7.367214599	6.34213451	7.437343443	8.839532775	9.506432018	7.842369852	7.284448038	4.470353058	7.542536935	7.693792454	5.930525278	7.264056343	9.216907968	5.978101834	8.911793072	9.132858142	8.828039932	5.323395951	0.0	5.797101724	5.901099865	5.812736277	6.239140635	4.565606829	6.085021054	5.095954016	0.0	4.326539624	6.24495939	4.717639858	3.095549146	3.829362523	5.708671771	5.079383263	5.847503177	0.0	6.002350879	5.732683993	5.440099583	4.718324583	4.694336775	6.247981382	4.721876827	5.862620846	4.929598945	6.117525601	3.120440523	4.142823565	4.836154047	5.385327719	3.315066279	6.931148064	6.310632793	8.225317604	6.105670271	4.043819605	3.984279491	3.767983338	4.04267825
Ercc2	6.929342119	6.815586048	12.5902968	11.99458132	11.4192065	11.68990881	0.0	7.406213279	2.373246411	7.468292994	12.61365673	12.19407035	14.04754915	15.0230274	7.645488418	8.581928917	9.815425652	9.024017209	6.91906586	8.979868011	8.159268104	7.324439152	5.556848772	6.48859302	5.225260143	5.528873506	9.203964318	9.541573306	5.897746623	7.995380487	5.634631038	7.03950372	5.94879345	6.378262109	8.589004309	9.40294431	7.72268998	7.514489894	5.054106724	7.682336243	4.829680874	6.362925272	8.361651775	8.178213654	5.094869412	9.09338873	7.016043623	5.560828573	4.982532477	0.0	0.0	5.547239346	6.179373528	5.759060027	5.301827311	3.413650305	5.274094366	4.410157644	5.528857613	6.164796273	6.069282152	5.082366275	6.549934593	5.641226488	5.922145308	5.206552747	5.999406736	4.400917544	6.670140216	5.531712549	5.092295504	4.924794211	5.136540085	5.938708846	4.655797602	5.650559619	6.611745966	4.908908779	5.382586334	6.396498125	7.054175162	6.300366812	6.213350545	6.648017102	8.284805374	4.431407837	3.403776482	0.0	4.538529727	4.50779941
Evx1	0.13404767	1.111231023	7.083932625	6.313376844	5.664402146	5.499595349	0.0	0.0	0.0	2.226210363	6.49913772	5.998537582	8.128470222	9.624816254	0.0	0.0	0.0	0.0	1.170084572	0.670317709	0.0	0.0	0.0	0.848972055	0.0	0.0	0.0	0.391705463	0.406523476	0.0	0.0	0.0	0.0	0.0	0.0	0.670411518	0.309871053	0.533401637	0.0	0.0	0.0	0.0	0.0	0.129997899	0.0	0.623728661	0.0	0.4333746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.313605035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.448393758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fbl	4.068123719	4.74139995	8.693219312	8.274257533	8.261404494	7.87801869	4.497976002	4.924582702	5.44643097	3.475534654	9.70204052	8.947952746	10.77099353	11.59246285	9.271458186	9.071157519	9.62993461	9.172937757	7.458898139	9.563788008	8.070139363	7.429179816	6.424912927	7.444390475	7.48730692	6.02673898	9.461380244	8.980573053	7.277329264	7.071241158	6.998373705	6.508769869	7.701619782	7.864099025	8.816481911	9.619560949	7.605380522	7.477210247	6.250964837	8.268399414	6.12286643	6.847915027	7.53972593	9.589983098	5.860702541	9.405520013	8.407603401	8.670844587	6.757997146	0.0	5.460424185	6.393763896	7.04821148	7.662301242	5.46725684	5.217303491	6.556145406	4.81599351	6.306064587	7.0953614	6.319640288	5.150119942	6.43721712	6.5372858	6.887236074	7.435262913	5.628399418	5.268784048	7.183767934	7.157377955	5.930611833	6.784073744	7.157550996	5.497382416	6.216262232	6.864994865	6.913249786	7.394036533	6.448791909	6.511162801	6.85594254	6.037265709	7.252496461	8.036894646	9.524028463	7.939243268	6.516169637	4.777447967	6.235458968	6.666931663
