	GSM1449085	GSM1449086	GSM1449087	GSM1449088	GSM1449089	GSM1449090	GSM1449091	GSM1449092	GSM1449093	GSM1449094	GSM1449095	GSM1449096	GSM1449097	GSM1449098	GSM1449099	GSM1449100	GSM1449101	GSM1449102	GSM1449103	GSM1449104	GSM1449105	GSM1449106	GSM1449107	GSM1449108	GSM1449109	GSM1449110	GSM1449111	GSM1449112	GSM1449113	GSM1449114	GSM1449115	GSM1449116	GSM1449117	GSM1449118	GSM1449119	GSM1449120	GSM1449121	GSM1449122	GSM1449123	GSM1449124	GSM1449125	GSM1449126	GSM1449127	GSM1449128	GSM1449129	GSM1449130	GSM1449131	GSM1449132	GSM1449133	GSM1449134	GSM1449135	GSM1449136	GSM1449137	GSM1449138	GSM1449139	GSM1449140	GSM1449141	GSM1449142	GSM1449143	GSM1449144	GSM1449145	GSM1449146	GSM1449147	GSM1449148	GSM1449149	GSM1449150	GSM1449151	GSM1449152	GSM1449153	GSM1449154	GSM1449155	GSM1449156	GSM1449157	GSM1449158	GSM1449159	GSM1449160	GSM1449161	GSM1449162	GSM1449163	GSM1449164	GSM1449165	GSM1449166	GSM1449167	GSM1449168	GSM1449169	GSM1449170	GSM1449171	GSM1449172	GSM1449173	GSM1449174
Gapdh	10.21037263	10.28231857	14.50966077	14.46850332	14.24826947	14.54703552	9.993782859	11.53169692	9.188803201	11.27404201	15.1937601	14.4667475	17.12916719	18.05562677	11.18395544	12.45674433	11.58704439	12.08502476	10.01329973	11.54885532	11.10467435	10.09747654	9.762843397	10.9713581	10.9091081	9.783295501	11.29499693	12.14661905	11.76626501	11.25489372	10.58371238	10.28859213	10.44413535	11.29746139	12.52920307	12.87140778	11.36011806	10.93735783	10.00331192	10.38441437	11.25741231	10.58013312	11.69383616	12.7374717	9.373739385	11.51406074	11.87100752	12.7356133	9.517194789	0.0	9.399636819	9.49943191	9.239384171	9.658484684	8.388424142	9.385290682	9.126780921	8.567337448	9.753690474	10.14459438	9.712398132	9.110121895	8.677936531	8.985307763	9.27474417	9.431418563	9.26733865	9.256996951	9.380473479	9.568388031	8.671118383	9.16835524	8.857255496	8.526452492	9.03761271	9.473947975	8.958558741	9.282169603	10.81145645	9.903056474	9.218546616	9.860090808	9.857971755	10.1211386	11.69229673	10.0175157	8.136640865	7.548822417	8.958714149	9.148342132
Gata4	8.732813576	9.64108275	13.40099499	12.95400998	12.74174143	12.38697317	8.359077445	10.17908434	2.415360833	10.58003039	14.16179241	12.80484475	15.34814402	16.39743443	11.46252275	11.12273062	11.74710442	11.57983053	11.09165479	12.11074688	10.70829385	10.73523877	8.362268868	10.22616679	10.01003627	8.878320774	11.78762776	11.83012757	10.45007046	10.37048845	9.05880946	8.945195274	9.800483021	10.22683975	11.42620179	11.82328169	10.86096518	10.564318	9.024652522	9.850326228	9.959610745	9.14101626	11.13405488	12.03567906	7.222889424	12.0310137	11.75526079	11.41323961	8.94272814	0.0	7.216019312	9.417418712	8.898318232	8.895141625	5.565050095	5.929435985	6.924917412	6.285547896	5.619468259	7.985785026	7.251466702	6.255083234	8.440522509	8.001100524	6.914414528	6.683475314	6.719492767	6.36784708	6.754592843	6.631184306	6.080866277	7.116286404	6.624183019	5.508221536	7.472299179	8.356830613	8.472499149	7.48829845	8.199704251	8.037302301	8.341250934	8.278992747	8.406805208	9.764057235	9.758182107	9.012535704	5.771739156	5.298420959	7.3440056	7.476870117
Gli3	1.221580743	9.351999842	15.75405	14.34190661	11.48994095	7.382767866	4.486326048	11.13677043	0.0	13.03547881	14.78925601	14.01698893	16.80343092	17.34492902	0.673398927	4.660747241	12.20315824	11.5784608	3.56413952	7.563261046	10.6694582	10.2324268	7.824370317	9.213960053	0.0	0.0	12.74026406	12.04292478	8.666187382	7.755963452	8.412059442	7.985700834	7.521192242	9.612178034	8.598983119	9.984324465	2.331926068	5.025584979	5.608852809	5.192045489	9.970160145	9.626865876	5.703983764	5.494540053	0.0	9.551748178	9.246134161	9.739082355	6.524130236	0.0	0.0	4.508909806	8.233373719	7.857810351	1.490463011	3.440310448	3.046759319	5.055772411	4.491143531	7.566688325	6.433249047	6.283535913	6.840271	6.257295676	4.214048487	7.994152525	5.374805485	4.386420472	7.275453698	6.23714513	3.579071811	3.38391903	4.63632116	0.0	6.326022842	5.226992813	6.492712173	3.98187601	0.587629047	0.0	0.0	0.0	4.60712491	6.765610507	9.714047594	5.092079425	4.413471806	5.442784166	5.478326318	6.765187332
Hdac1	6.180071887	4.102414399	11.53066316	10.7396504	10.01862181	11.03614995	0.0	4.220714282	3.019980134	5.07806521	11.60220896	11.13844134	13.52939897	14.78300241	11.94141658	11.98479062	13.14930323	12.90461726	10.80123772	12.25918639	12.03127199	11.20902146	9.477480042	10.8958486	11.04804863	10.20130975	12.43674479	12.64030933	9.992390817	11.60771304	10.28643314	10.01505654	10.71114557	11.19310511	12.36654049	12.64040927	11.45769163	11.31484164	9.437303896	10.7913614	9.63678118	9.908608828	11.47976189	12.91198479	8.873728605	12.99070725	11.89255965	12.23008671	9.856303655	0.0	9.431023739	10.12106499	9.851124779	10.69414551	8.932503369	9.044276563	9.375814474	7.659035038	9.112922018	10.30475308	10.03557993	9.296719825	9.085708965	8.921839898	9.963224414	9.72015416	9.475384094	9.77828434	9.985233995	10.09474568	9.210622745	9.393988603	10.03132411	9.401659944	10.48650123	10.4881271	11.12594742	10.79581742	10.19460929	9.999531842	9.909648203	9.913798419	10.54512423	10.82960285	11.92359875	10.54512739	9.185396212	8.180216207	10.2385623	10.09695255
Hells	8.315250765	9.959624465	15.22997281	14.31394554	13.85785308	14.12283849	8.476202858	11.21294246	1.785136096	10.91498647	15.11301652	14.72474085	17.27044633	18.08330559	9.711257614	9.333179343	10.91702514	10.89504182	8.265392416	10.40272375	9.577129869	7.924027437	8.567749479	8.708875828	7.305296706	7.126521687	9.241534792	8.413986959	8.108487082	7.489401597	7.716034255	8.463506339	6.967051396	6.095457849	10.34941483	10.65883978	7.451444994	8.277284084	5.663390411	6.762293541	6.37201906	7.892185086	8.868049044	10.04080251	3.363288235	10.21123898	11.33861878	11.28015785	7.092052048	0.0	5.800278059	6.735415228	6.967064683	6.927418224	5.437877798	6.182666153	6.626950661	5.855484872	7.598437015	6.508585959	7.386206127	6.249623934	7.503695183	6.398697366	5.920107832	7.072326752	6.165781095	5.623552814	7.636880875	7.516630533	5.361601984	7.273158619	6.141227823	5.047615361	5.552297341	5.887280445	7.294966507	7.382592293	8.405343902	7.234768373	7.979519445	8.42732264	8.487627574	8.859409223	9.539021181	8.669488548	6.035918046	4.294516172	6.0561548	7.14377416
Meox2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pnn	8.409134396	9.560079802	15.29391017	14.39325726	14.10295941	14.26410702	9.184240431	8.286379002	0.934843403	10.86482238	15.22662288	14.45660194	16.34578915	16.74841211	9.898515819	10.11221137	10.48600637	8.972330443	8.898948062	11.48220287	9.684395117	6.239063889	6.310023477	7.520140903	8.304688925	8.945329027	10.84035348	10.2483507	8.151138529	6.831038918	6.284966883	7.149093634	8.051141516	9.515589803	10.88346474	10.71697963	9.037271446	8.369447201	6.888489327	8.996600229	8.203385032	8.575300884	9.162417551	10.6264476	5.76159381	10.35033259	11.0453577	11.31521046	7.27271097	0.0	7.683859047	8.47838423	7.999956752	7.398001352	4.665225683	7.13309887	6.36737169	6.577553249	7.281021393	8.163441711	6.957136899	7.061380701	7.464428966	8.263444407	8.003564385	6.98595116	7.406014181	7.82224592	5.91222257	5.795845366	7.838995356	7.565731474	7.779900423	5.973357571	8.408309644	8.173168002	8.211034853	7.696972449	4.131798516	7.410781046	7.842543241	7.871697549	7.665599416	8.57216432	9.787263211	7.164396533	5.91947795	6.093509449	7.811768065	7.628438637
Trim27	8.38863264	8.49836667	15.68638486	15.15564785	15.13685596	15.09823803	8.46227409	8.056493157	0.676155668	8.891116472	15.80423988	15.21214871	17.34183241	17.68477779	8.529113976	8.353202832	10.23193871	9.775368032	8.492303216	10.69058037	9.95342404	7.777929347	6.960378594	7.797521927	7.686202548	7.334553263	10.51970872	10.14829606	8.269201041	8.525674109	6.125641123	7.267908131	8.440561265	7.80882183	9.432724549	9.426619882	9.184689258	8.580000585	7.193185217	7.958044851	8.343545762	8.030485797	9.064258136	10.02405027	6.203172507	9.439702857	8.068587353	8.082382718	6.862804638	0.0	7.13970036	6.71956735	8.28526064	7.616393773	5.786531929	4.422125643	4.891017463	3.441019225	5.83935777	7.514568267	6.764190826	6.247405213	6.189294349	6.4467581	4.952076561	6.821924804	5.762508006	7.12665944	6.09353744	7.629173345	5.151164865	5.97921042	5.899539574	4.373962459	6.335029819	6.12619565	6.660107046	6.513924323	6.4573037	6.382692317	5.068067899	5.903187834	6.698225256	7.029270383	8.068238449	5.491267356	6.771492394	5.207431107	4.90245081	4.976703893
Rfx1	3.709398455	4.394315149	11.92101125	10.80657164	10.40516525	10.18150516	3.058382931	4.660556255	0.0	5.987347094	11.91263017	10.95554981	12.81145496	13.62468742	7.031749513	6.054368891	8.318326236	7.217238823	5.988151265	8.719646966	6.718826201	5.272479777	1.394289935	4.695349575	4.9333941	4.147928648	8.173137976	7.217677751	5.199678711	7.26952252	5.11070025	4.655765741	6.354117325	5.642328719	6.721567881	6.857577877	6.486763492	6.533149456	5.043570291	6.506881954	6.30936379	3.447740151	6.804058919	7.686184054	1.71726961	8.062516187	7.557393897	7.660199532	4.446618697	0.0	3.292868917	4.452390571	4.675348587	5.116393498	0.587765924	3.249451014	3.012460095	0.0	2.585796132	4.056048359	2.332079542	0.0	2.700237964	4.144677182	3.858991861	4.207343087	0.0	2.746387528	0.0	3.278061124	2.305450034	3.748321845	4.716702959	0.0	2.820283927	0.0	2.745999919	2.566535016	0.0	3.25683138	3.852908127	3.584746958	4.54341042	5.175146901	5.138040625	3.779739267	2.580206737	0.0	0.0	4.153609442
Snap23	9.455172351	10.6385175	14.19212649	13.77193166	12.97633789	13.16204637	8.866345185	10.80810444	5.404332469	11.64959632	14.46132934	13.93981342	16.17103109	17.20861709	11.0428875	11.03204183	12.05296973	11.44848361	10.01866645	10.81174041	10.86814248	9.878309372	8.676793269	9.647094635	9.296802475	8.132032253	11.68215326	11.32330716	9.76421173	9.935756655	8.925127146	9.476825958	9.842064136	9.878380183	11.88164034	11.67076484	9.257461947	9.89127826	8.568886161	9.559171728	8.927502895	9.014656264	10.56930281	11.27831956	7.796959262	11.91466385	9.437156969	9.978262113	9.486170546	0.0	8.295891532	8.290025003	9.318421136	9.10938801	7.068338158	7.390646134	7.982443108	7.357293272	7.825647829	8.686994119	8.583932303	8.245549699	7.674352669	7.611742757	8.396246951	8.174851162	7.148930628	7.982040994	8.177300053	8.427052071	7.317728958	8.17560589	8.69697222	6.949669688	8.781353379	8.842633545	8.231062266	8.890631457	8.846495281	8.306812366	8.506868841	8.923867582	8.719281321	9.010870994	10.82555665	8.166534085	8.529535603	7.368677376	8.30324689	8.027324417
Sox4	2.186444298	3.439257508	6.913233954	5.672496948	4.592930079	3.514277217	0.0	3.537041664	0.0	0.584884106	4.152846003	5.019685874	7.009580088	9.62726099	5.660719282	7.174350136	5.844440565	5.886118606	2.508013961	4.457697266	3.039471834	3.304805115	4.085322215	3.528200563	5.978575532	3.371703193	5.617828591	5.5609267	0.621749266	0.325002324	4.139238724	0.902298139	3.423843462	3.830117538	6.988024876	6.676843933	5.243643517	5.350112056	3.095815593	0.0	5.451436794	4.654551628	4.691055151	7.028745138	0.0	3.963513465	6.774687318	6.131435477	4.731046674	0.0	2.284163135	1.27238898	4.892150212	5.262479547	2.155407404	3.782416882	4.785741866	4.540681353	1.199261151	4.900679633	3.551287826	2.02951686	2.197686418	3.565734097	1.484921108	2.488100859	2.418857476	3.057080068	3.620316183	4.315643363	0.926604481	3.217441516	5.314931927	1.977186384	2.773633052	3.586086197	0.0	1.578290777	0.0	4.614027199	2.424456994	2.847823822	3.165086841	4.58316079	5.29522021	5.226818329	3.607291828	1.259348452	3.112807486	5.005099792
Tfap2c	6.462390407	7.978404875	12.93789407	12.19865125	11.54227266	12.16649417	3.007218471	7.128176617	0.675971678	8.313634902	12.63037167	12.06015224	13.41260241	13.52193827	9.132808328	8.833030783	10.07532332	8.37026301	8.69094246	10.33022628	8.32361577	7.148863768	7.579495872	8.17851844	8.894725881	8.149059626	9.716626365	10.15167366	8.738712424	7.506955007	6.404569618	7.682284468	7.501641411	9.024362797	9.48119202	9.786187513	9.798651854	8.233024958	7.283420262	8.406870175	7.682327992	8.061845403	9.26087921	9.360909537	6.414838002	9.957334536	8.665274329	8.53704934	6.40120594	0.0	6.716651082	7.278522395	6.583754152	8.108644645	3.685432603	4.355857774	5.355065357	5.556958066	6.099009776	7.234516563	6.195754168	5.009923802	6.280778246	7.21300028	6.168070042	7.657766517	5.693793273	6.686420405	5.6983869	6.043312689	4.728162343	5.778278486	6.324037928	4.532098861	6.725249693	7.541756413	7.302180109	5.953127243	4.917923529	6.992716049	7.763816927	7.037087851	7.435628047	8.292032509	8.595881334	7.138095922	5.636330383	4.763569177	5.314570175	4.36961266
Ube2b	8.86127915	9.971719844	14.52452598	14.27863533	13.72038656	13.55464859	5.484163178	9.699781306	1.779978161	10.59537353	14.85038484	14.23759974	16.65936428	17.49721635	10.61010035	10.22503961	11.97850481	11.59843137	10.27235264	11.22284211	11.59832316	9.881133976	8.232346382	9.238954296	9.110282365	7.902910348	10.52248483	10.54839814	9.092825326	10.07339612	8.848787878	7.920083675	9.943368819	10.11399566	11.36473178	11.44294443	9.789524707	9.42105137	8.893131439	9.384887049	8.872902411	8.997234057	9.50329238	10.62352372	7.82840167	11.11866663	10.41616383	10.58511312	8.174016626	0.0	7.806756018	8.555795597	8.567810627	8.432418576	6.397789011	7.435188041	7.460078129	7.038718509	6.849631592	8.238675705	8.087732289	7.221352226	8.138201347	7.505587463	7.773311955	8.150369326	6.473057841	6.489613028	7.354140845	6.890229324	6.887198749	7.097056691	7.886487755	7.303273613	7.016403956	6.752508253	7.9051583	7.767991725	7.561620776	6.618972966	7.27853729	8.527167576	6.813739656	7.906307045	9.974058803	8.387992446	6.854709312	6.027027552	6.907181831	8.338138238
Vcp	5.261414197	5.3599688	9.069426599	8.600947192	7.152353656	7.612922791	4.718897639	5.52577473	7.326644439	3.70283676	8.624865726	8.624989495	10.82694494	11.94047514	0.0	7.653952257	6.785894704	7.181314268	0.0	6.20803506	6.728815979	3.759774632	4.388441578	4.321367354	5.487215561	4.075022982	6.361289	6.375486535	3.092529895	3.441201781	5.519077991	4.642359236	4.207765259	4.882769891	4.160825209	6.502349978	5.704209011	4.671464888	0.0	3.306077951	2.096373965	0.0	4.007821669	6.450021155	0.0	6.185830848	0.0	5.910102875	6.069000954	0.0	4.548581802	4.974130433	3.858092298	3.383967163	3.359697766	4.067891591	4.260312945	2.565813536	2.120437205	3.809508598	4.834585773	4.726625204	2.367225979	4.536494204	3.817836198	3.047579241	4.253085251	0.0	5.879473095	5.63059358	0.455918308	4.137096475	0.0	3.857602084	3.189974139	3.593647548	0.0	3.10900964	5.065509745	3.644034597	2.915496776	5.072448047	3.456471615	5.273067588	6.042255019	3.379429987	3.205134445	3.115776688	3.308219525	4.328674327
Ap1g1	9.47078554	9.613062244	15.43433773	14.70553573	14.36716343	14.53893675	7.120107573	10.22690706	2.6316522	10.78771331	15.47221817	14.71035432	17.20227433	18.1594588	11.09809459	10.52860139	11.69238665	11.43702661	10.21475206	12.30621284	11.12604655	10.03640322	8.465107143	10.00471924	9.792046664	8.702071771	12.1248464	12.12991911	10.10541814	9.717880114	8.931256895	9.121099049	9.129897155	10.68600014	11.7553265	12.12387511	10.78876575	11.26446858	8.521153815	10.01709649	8.764678877	9.183823166	11.01149053	12.55859204	5.870042724	12.36083894	11.20808433	11.09508365	8.780236408	0.0	8.7100924	9.769521976	9.032448613	9.678554854	5.982135966	7.490094144	7.356018934	6.478378741	6.729826804	7.751261241	7.894562061	6.947576115	6.579549826	8.591127261	6.142924125	7.415731239	6.781475722	7.437705921	7.942123913	8.878422339	5.859426498	7.84459197	6.776967335	7.109962892	8.066796741	8.533278252	7.967275039	8.022802391	8.240865805	8.282030071	8.521015232	8.083928094	8.809145282	9.021659358	10.16922283	8.412842988	7.696031883	5.736628989	7.330609647	6.841569893
Ap2m1	5.737840825	5.227846029	10.38692823	9.522677697	9.743369886	9.467088891	6.050945685	5.501795017	6.862226526	5.524405482	10.17143058	9.985500583	12.31112057	13.07205168	6.081171272	8.039744486	7.853812793	7.038098842	6.848397276	8.371374054	8.17597445	5.386421572	6.203832791	5.34408131	6.178605044	4.296479007	8.615096177	7.600323908	6.040874021	4.828251834	4.603386933	6.241561777	6.674192311	6.880900614	8.112346844	8.342841946	5.783242618	6.094695911	4.156630501	5.98199133	4.456914919	6.317703099	6.47382451	8.106170233	2.759342823	7.596807328	7.220131387	7.507942773	6.026704638	0.0	6.91946679	4.430465995	6.290893849	5.537555387	4.507033594	4.241797115	5.032673472	4.858120988	4.312063686	5.847371532	6.686387991	3.30938086	5.284599702	4.033043857	4.575162118	4.22376906	5.689208472	0.0	3.82601634	5.502356925	3.317410667	3.620089449	3.191699934	4.071201303	5.651028172	4.71428564	5.034158183	2.617127755	4.832356855	5.491649879	5.554506372	6.849308807	5.914098716	5.2214473	6.961722475	4.74313557	4.459125168	3.202268097	5.047786704	5.217264633
Brca1	7.5982322	8.767725392	13.58444475	12.58025819	12.39243326	12.64899193	7.690440733	9.01297773	0.0	8.455863834	13.7412401	13.06824487	15.31712281	16.21135703	6.927857654	6.689212627	7.600625527	6.801209169	6.340893584	7.410440899	6.986184955	6.684262421	4.531470225	4.728355061	0.0	3.237599302	7.162959842	7.513437379	5.99788831	5.776167669	5.208024785	4.7218533	5.374151009	6.598948364	8.513051639	8.574163303	6.207711652	7.41792301	5.189327651	4.388567415	4.6269003	4.754940939	7.020918517	8.412909601	0.0	7.633775024	8.299187765	7.511996993	4.606052855	0.0	4.512369627	4.736077633	4.139938555	4.820839339	4.616610473	3.147914983	4.978941706	3.240732197	3.407197707	3.644007974	4.956851723	3.267879741	0.0	4.975860897	5.457665597	0.0	0.0	0.0	0.0	4.281206561	3.068889987	0.0	3.448821494	3.037915809	6.008960992	6.024515297	5.026343538	3.498164504	5.088394534	3.584720667	2.863293826	4.009609623	5.32056764	5.969561071	4.69136582	2.237389799	3.315749193	4.770511705	3.3583238	0.0
Klf5	3.109858277	5.740433385	5.626261237	2.98844516	4.500081233	3.83399158	4.486985805	6.128745287	1.316235771	2.770108496	5.6135862	3.680126428	7.459721861	7.716749659	10.84693927	10.4757689	12.16344735	11.12654496	8.418547782	9.704495179	11.78456784	9.990891299	8.27883285	7.421920723	6.991786083	7.96855972	11.43123832	10.41697525	8.779518034	9.928356712	7.373140817	8.433475365	7.342294744	7.389741992	11.32151941	12.32639069	8.848154484	9.574727459	6.779000653	7.758740886	7.794017327	8.428567221	9.160815585	9.891399596	7.025961433	10.73879406	10.53296251	11.36111744	7.39869402	0.0	6.111264873	6.204188194	8.479588903	9.388886545	6.596915878	6.524892579	6.116452623	4.978105007	8.075114066	9.556613532	8.615190267	8.885758937	5.835788129	6.282038262	7.076735329	6.987980899	8.061266445	8.422275152	9.312825866	9.213243579	6.148804995	6.490460985	7.150264362	4.983985175	8.875727726	9.320635594	9.056403241	7.527021937	8.877987088	8.777005502	9.424009905	8.732306996	10.13504883	9.565230781	10.88179786	10.05803236	6.654470257	6.117182206	7.600904306	7.517005397
Capn2	5.297083018	6.404465247	3.619818372	0.0	0.0	0.0	0.0	5.489389831	0.0	2.88768104	0.0	2.613548396	5.154035953	9.440714139	0.0	5.272363722	4.1814897	4.200440721	0.0	0.0	0.0	0.0	0.0	0.0	3.495863805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.864721996	0.0	0.0	0.0	3.914661511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.656174262	0.0	3.958629763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ctnna1	8.939034033	10.16436839	15.36165661	14.48352834	13.9325676	14.24761218	9.675833876	10.11867372	2.779199391	11.33622938	15.30229516	14.59483021	17.0302564	17.49527877	9.849917482	9.873136958	10.23209577	9.688812513	8.224807734	9.942960058	8.387723612	8.003648704	7.441851014	8.259664786	8.51922543	8.587805786	10.56519456	10.72672052	8.28532824	8.634230667	6.974585799	8.343544221	8.368449115	9.535447221	10.36306519	10.95943989	9.175982217	9.32150957	6.516721864	7.791782985	8.085742315	6.947472255	8.903820817	10.45009119	6.433204356	10.71321228	10.1645929	10.83842129	7.900048498	0.0	7.139061692	8.629240221	7.765931821	8.25600527	6.739773695	6.076612115	6.082193106	6.397648646	5.245578106	8.1242684	7.092915855	6.446507855	6.583805633	7.521021089	6.839259808	7.937640682	6.957434856	7.217174832	7.480169449	7.423491379	6.681623397	7.247002662	6.773931465	6.583121809	5.433498213	7.275371743	8.194593814	7.974162183	6.917556896	6.914801409	7.665363468	6.490128386	6.612983379	8.211921647	9.393322316	7.867727692	7.493499474	6.174190312	6.528789226	7.428927897
Ccnk	10.10912228	9.247374994	16.30473794	16.01621401	15.46417768	15.69312674	9.152067142	9.590762992	2.242818127	10.94209444	16.52358213	15.756482	17.71075213	18.36923226	11.29027121	10.93164749	11.69057598	10.4522381	10.57198114	12.20864859	10.66168755	9.329208844	8.054593353	9.452879291	9.373276189	9.151703414	12.12653591	11.77755413	10.74217412	9.852726011	8.209160416	8.364520243	9.660871321	10.51002552	11.49710283	11.8422592	10.55001033	10.39578668	8.571691401	10.03728005	9.564313305	9.311374896	11.09608583	12.01463322	7.37051018	11.92612388	10.89420991	11.49403036	8.307660981	0.0	8.210863414	9.330354613	8.020379829	8.285722031	6.161160267	6.013581342	7.150745554	4.233574065	6.280067597	7.80547464	6.777141532	6.162057719	7.469008291	8.382506138	7.376347888	8.204943439	5.321701472	6.41641391	6.604315725	6.782225939	7.27710001	5.739936809	7.778367539	4.893605757	6.276062146	7.539010774	8.064000338	7.72169051	6.815222447	7.326932961	8.399192146	8.342180566	7.581167219	9.013232093	9.899351853	6.368376316	5.786269042	3.622322677	8.646300033	7.427702733
Cdh1	7.153460817	6.692312331	15.44266003	14.64958156	13.83609684	14.0533771	6.213025669	8.540896969	0.482245106	7.996309469	15.35245362	14.69956176	16.66203878	17.28900986	7.847752001	8.266742368	9.177962145	7.675051187	6.641611866	9.672142267	7.730620219	6.400198606	5.368346002	6.580189643	5.777044339	5.927277006	8.433027056	7.857912231	6.383112439	7.505665011	5.530872427	6.059916491	6.61315049	7.25566401	9.036651651	10.1429585	7.185105053	7.695174486	5.020552843	5.555841577	4.952271504	6.615179304	7.973976924	9.544560715	3.480167188	8.772008531	10.72674976	10.48488245	6.527438141	0.0	5.08433471	5.81740542	5.118991049	6.562930824	4.68234123	2.005090756	5.212832509	3.261280888	5.576894228	5.965358842	4.378694094	5.168020201	2.470111844	3.301742608	6.101833735	5.118320864	4.262315896	4.703865916	5.036871399	4.888529175	4.62820462	4.911599549	4.202285708	5.272072153	3.249267326	1.512523942	4.647834106	6.994675515	6.659703058	5.930189278	7.244584051	6.276938747	5.410401213	6.036269033	7.760184403	5.747873882	3.93899966	3.142482341	4.682650081	6.240475987
Dnmt1	7.902166755	9.010887571	13.88077347	13.06408236	13.0633863	12.68601931	7.764840315	7.112222927	1.666718109	9.059098923	14.43783121	13.07666255	14.86721436	15.35190065	8.905819161	8.973315029	9.679298946	9.077278879	8.511605142	9.342511184	8.039763159	5.371842611	6.805359065	7.004233943	6.676080992	7.153983612	9.266940971	9.166738792	7.794017303	7.921414416	6.904945798	7.563030107	7.842185145	8.063477392	9.1855291	9.678432062	7.596624625	7.023622848	7.117934096	7.099836308	7.058296831	7.103576485	8.663920808	9.133794884	4.163920435	9.033667889	8.483328261	9.31048881	6.90519677	0.0	4.977299357	6.155420273	6.769653237	6.502986138	4.242360897	4.609940609	6.449668971	3.409009857	4.99033008	5.829814142	5.204939202	5.560877347	5.668712811	5.947107301	6.175426867	6.814109924	5.743402724	4.824824853	4.513810694	5.493445117	5.369123474	4.414940243	5.941768977	4.783547775	6.043366136	6.110349545	6.748829345	5.265721729	5.248570964	5.568390964	6.010204822	5.924650485	5.047258094	5.363189118	8.021850309	6.342077374	5.607384897	3.426243573	6.056774136	6.105968306
Eomes	1.852586034	0.0	5.593927015	7.144962787	7.184305205	7.91063638	2.016716258	3.891702482	0.0	0.635569284	8.247082771	6.935341594	9.930762624	10.5267816	1.589579766	4.67704876	5.028493535	5.351623418	0.0	3.811261219	4.365008836	3.876585422	5.574713857	0.0	3.62038359	3.722871746	1.712218114	5.774573334	3.998543263	0.0	0.0	1.345006411	1.503755679	4.85779565	4.571132126	8.341732733	8.026619809	5.1327799	1.29939916	0.380919508	3.880001961	7.008884156	5.409435536	6.529699033	0.0	1.011187014	7.384956205	8.046243402	0.0	1.824176616	0.193294281	5.717995197	2.195039308	5.826309872	0.419255123	2.365051647	0.334595807	1.26813485	4.747494419	5.244850847	4.749789943	0.0	0.0	2.437583613	2.094213698	0.94410709	0.821016181	0.826684118	0.0	0.246853523	0.989715359	1.79654441	1.208463022	0.0	0.023102528	0.0	0.0	0.0	0.0	1.410701041	0.0	1.945795984	0.211893495	0.0	0.0	0.368625349	0.0	5.578859084	3.705144629	0.0
Itgb1	6.215206604	8.240886813	14.02212191	13.2228498	12.79849685	12.67665382	7.558058939	7.898328067	0.0	8.578421753	13.97888618	13.33840267	15.83203491	16.94102878	6.149746829	7.5126038	8.830616055	8.423372539	5.555917758	8.985764786	7.84759313	5.629978771	6.95939795	6.281257595	3.805501874	3.69438563	4.980359363	7.514349855	5.541292946	6.249444679	5.896272993	3.929263771	6.312720251	6.595649815	7.345071452	9.020384739	7.218128376	6.675842019	5.25065074	5.544747037	6.950717953	4.785450647	6.346123944	8.268940233	4.186824386	8.401293406	7.434168974	7.926050076	5.491504644	0.0	5.276580604	5.523926131	6.686402293	5.625048054	3.604329373	5.934655988	5.044085437	0.0	0.0	6.343117141	6.654349865	3.787371815	4.763845887	0.0	5.004660219	6.115983378	4.965829442	5.310249172	5.925723065	5.476787087	5.025639864	4.92565646	0.0	0.0	0.0	3.633774087	3.590392855	4.210221341	6.131995203	7.409391849	6.14941691	6.629144115	6.237756899	5.480361	6.015223706	4.785025757	4.113363681	0.0	5.680899788	3.841395779
