GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
MPP1_PGRMC1,TIGIT_TYROBP,AP001189.4_PKIG,GNG11_SEPT5
C2orf88_KLRC1,FOLR3_S100A11,FCRL6_GNG11,PRSS23_SPARC
CDA_CMTM5,FCGR2B_FOLR3,HIST1H2AC_KLRC1,GP9_TMEM40
IGFBP7_LITAF,C1orf162_FCGR3A,PRSS23_TREML1,RAMP1_SPARC
CMTM5_GP1BA,S100A6_TYROBP,ARHGAP24_GP9,RAMP1_S1PR5
LDLRAP1_SNX29P2,HLA-DMA_S100A11,ITGA2B_SPARC,TMEM40_XCL2
C5AR1_FCRLA,CLU_S100A6,FGFBP2_S1PR5,ITGA2B_PRSS23
SAT1_SNCA,LGALS3_S100A8,AP001189.4_GNG11,LY6G6F_PRSS23
HLA-DMA_PGRMC1,FERMT3_PGRMC1,GP9_LY6G6F,GPR56_LY6G6F
ENHO_PLBD1,CLU_TYROBP,LY6G6F_PRSS23,MYL9_RAMP1
ARPC1B_PPBP,CCL3_MARCH2,LDLRAP1_TSC22D1,CD9_GNG11
DYNLL1_RGS18,MFSD1_SMIM14,FCRL6_XCL2,LY6G6F_SEPT5
MMD_TSC22D1,FCGR2B_SWAP70,ARHGAP24_LY6G6F,GNG11_XCL1
GPR56_PRR5,ALDH2_MFSD1,MAL_TSC22D1,PRSS23_TMEM40
HIST1H2AC_KLRB1,MAFB_NCF2,GNG11_TREML1,RAMP1_TREML1
FPR1_S100A12,MS4A1_SPON2,C2orf88_TPM1,LY6G6F_XCL2
AIF1_GZMB,C5orf56_CLU,ARHGAP24_S1PR5,TREML1_XCL2
GZMB_S100A6,CLDN5_TSC22D1,SEPT5_TMEM40,PKIG_RAMP1
COTL1_GZMB,ALDH2_PARVB,CD79B_GZMA,PRSS23_TREML1
IFI30_PF4,ASGR1_FOLR3,LY6G6F_PKIG,GP9_SPARC
FCGR2B_LDLRAP1,PTGS1_TNFRSF1B,KIAA0125_KLRC1,AP001189.4_RAMP1
CCL5_PGRMC1,C1orf162_MARCH2,FCRL6_GPR56,GNG11_PRSS23
LGALS1_LGALS3,HLA-DQB1_PARVB,LINC00926_TPM1,GP9_PKIG
HVCN1_LST1,FCGR3A_LITAF,PRSS23_SEPT5,LY6G6F_XCL1
CDA_PRR5,FCRL6_GPX1,P2RX5_TPM1,GP9_RP11-367G6.3
CDA_GP1BA,FGFBP2_SDPR,GZMK_NCR3,AC147651.3_CLEC1B
LGALS1_S100A6,CD37_FCGR3A,GNG11_S1PR5,GP9_TREML1
GNLY_S100A8,FCER1G_SMIM14,LINC00926_RAMP1,CMTM5_SEPT5
CLIC3_IRF8,AC147651.3_KLRC1,GP1BA_PRR5,CMTM5_XCL1
CA2_FCRL6,PARVB_SRGN,GNG11_SEPT5,RAMP1_RP11-367G6.3
CCL3_SPON2,AQP3_KLRC1,SDPR_SEPT5,GP1BA_SEPT5
CCL3_CLU,ASGR1_C9orf142,MYL9_TREML1,AP001189.4_XCL2
CD79B_FOLR3,CEBPB_FPR1,FCRL6_LINC00926,SPARC_XCL2
HLA-DPB1_MZB1,CD19_PARVB,ITGA2B_TREML1,LINC00926_PRSS23
FGFBP2_SDPR,CMTM5_GP1BA,ARHGAP24_LINC00926,LINC00926_XCL2
CD79B_CST3,C5AR1_FCGR2B,BLNK_CLIC3,CMTM5_GPR56
CD19_LDLRAP1,HINT1_SAT1,CLU_LINC00926,CD9_LY6G6F
HLA-DPB1_HLA-DRB1,GYG1_HLA-DQB1,SPIB_TSC22D1,GP1BA_XCL1
F13A1_GP1BA,CCL3_S100A8,PLEKHF1_XCL2,GP9_LY6G6F
HIST1H2AC_NCR3,CD160_CTSS,KLRC1_NCR3,ITGA2B_RAMP1
AIF1_PTCRA,C1orf162_S100A11,CST7_TMEM40,GP9_S1PR5
C2orf88_CLEC1B,IGLL5_IL1B,MYL9_TPM1,GNG11_RAMP1
HLA-DMB_TCL1A,CD1C_PTCRA,ARHGAP24_TMEM40,PKIG_PRSS23
GNG11_PRR5,PHACTR1_PRF1,LY6G6F_MYL9,PKIG_XCL2
IL1B_MARCH2,PRR5_TUBB1,FGFBP2_MAP3K7CL,CD9_CMTM5
COTL1_IRF8,PDIA3_SNX29P2,FGFBP2_GNG11,GP9_MYL9
CCL5_SNX29P2,PTGDR_SNX29P2,S1PR5_TREML1,MZB1_PTCRA
GSTP1_PPBP,FERMT3_SMIM14,MAL_NCR3,GNG11_GP9
CD37_PRF1,CLEC1B_KLRC1,FCRL6_TMEM40,GNG11_GPR56
FOLR3_TSC22D1,FOLR3_HAVCR2,AKR1C3_GNG11,LY6G6F_RAMP1
HLA-DQB1_SWAP70,IGSF6_PLBD1,AC147651.3_KIAA0125,ITGA2B_XCL2
FERMT3_PDIA3,PRR5_SNCA,RP11-367G6.3_TREML1,GP1BA_GPR56
FCGR3A_ZAP70,CTSS_EFHD2,AKR1C3_XCL1,PRSS23_S1PR5
ASGR1_IGFBP7,CD79A_MS4A1,GNG11_RAMP1,GNG11_XCL2
PGRMC1_PRR5,PTGS1_S100A11,PLEKHF1_SPARC,AP001189.4_PRSS23
ADAM28_GAS2L1,MMD_PLA2G12A,CLDN5_JAKMIP1,MYL9_PRSS23
HLA-DMA_PRF1,GP1BA_ZAP70,CLU_LY6G6F,GP9_LINC00926
CD79A_FCRLA,LDLRAP1_PGRMC1,CD9_PRR5,CD9_GP1BA
KLRB1_KLRC1,CD247_PRR5,CLU_S1PR5,S1PR5_XCL2
BLNK_CLIC3,NCF2_PLBD1,F13A1_GP1BA,RP11-367G6.3_XCL2
HAVCR2_SMIM14,C9orf142_IGFBP7,GP1BA_SEPT5,MYL9_XCL2
HLA-DPA1_MAL,IGLL5_P2RX5,FGFBP2_TMEM40,RAMP1_SEPT5
F13A1_NRGN,IL1B_SAMD3,CD79B_HIST1H2AC,GNG11_GP1BA
GNG11_GP1BA,FCRLA_TCL1A,CMTM5_PRR5,GP9_XCL1
ARPC1B_SAMD3,GP1BA_PRR5,GZMB_PTCRA,GZMA_TREML1
GZMA_KIAA0125,CLDN5_IGSF6,CLU_MAP3K7CL,LY6G6F_PKIG
BLVRA_GAS2L1,CCL3_MS4A6A,C2orf88_RP11-367G6.3,PLEKHF1_ZAP70
PTPRCAP_TCL1A,HVCN1_LGALS1,PLEKHF1_PRSS23,CD9_GP9
MAP3K7CL_SPARC,COTL1_LGALS1,KLRB1_TSC22D1,GP9_GPR56
F13A1_PRR5,C5orf56_MS4A6A,MYL9_TMEM40,LINC00926_LY6G6F
C2orf88_GZMA,IL1B_MARCH2,CDA_GP1BA,RAMP1_XCL1
CDA_SEPT5,CMTM5_TYMP,AKR1C3_LY6G6F,GNG11_TREML1
BLNK_KLRG1,HAVCR2_P2RX5,CDA_CMTM5,AP001189.4_GNG11
CLEC10A_TUBB1,GYG1_PDIA3,CDA_GP9,GP9_SEPT5
ID2_PTGS1,ENHO_PLBD1,FGFBP2_RAMP1,CD9_PRSS23
C2orf88_HIST1H2AC,AKR1C3_SAT1,LINC00926_SPARC,GNG11_SPARC
IGFBP7_PPBP,SNX29P2_SPON2,MAP3K7CL_TREML1,GNG11_PKIG
BLVRA_CEBPB,EFHD2_HLA-DPB1,AP001189.4_TPM1,GZMA_TMEM40
CST7_SAT1,C1orf162_SMIM14,F13A1_PRR5,LY6G6F_TMEM40
GPR56_XCL1,LGALS1_PTCRA,PLEKHF1_TMEM40,GZMA_ITGA2B
HIST1H2AC_KLRC1,CD1C_TYMP,SEPT5_SPARC,GPR56_PRSS23
SMCO4_VAMP8,ASGR1_PTGS1,LGALS3_S100A11,GNG11_TMEM40
C5AR1_FOLR3,KLRB1_KLRC1,FOLR3_TSC22D1,GPR56_XCL2
HVCN1_S100A6,CCL3_FPR1,SDPR_XCL1,CD9_XCL2
CD72_SWAP70,CLU_GNLY,S1PR5_SPARC,GZMA_TPM1
CYBA_PGRMC1,GPX1_NCOA4,FCRLA_LINC00926,HIST1H2AC_KIAA0125
AC147651.3_HIST1H2AC,C5orf56_IL1B,CDA_TMEM40,HIST1H2AC_TPM1
FGL2_PLEKHF1,ARPC1B_HLA-DQB1,FCRLA_PRSS23,PRSS23_SEPT5
C9orf142_MPP1,GP1BA_IL32,GZMA_S1PR5,GZMA_LINC00926
GIMAP5_IL1B,C9orf142_HLA-DQB1,RP11-367G6.3_XCL2,GZMB_MZB1
LINC00936_S100A12,HINT1_SRGN,SPARC_XCL1,C2orf88_MAP3K7CL
C1orf162_KLRG1,CCL4_PPBP,AP001189.4_LINC00926,SEPT5_XCL2
APOBEC3A_SAT1,HLA-DOB_TIGIT,AP001189.4_PRSS23,GNG11_S1PR5
CLIC3_KLRG1,CCL3_HLA-DQA1,LINC00926_TREML1,CD9_RAMP1
AIF1_CLEC10A,HLA-DMA_NRGN,IGLL5_RP11-367G6.3,CLDN5_JAKMIP1
LYAR_PNOC,CMTM5_ZAP70,CDA_TREML1,XCL1_XCL2
GSTP1_ODC1,KLRC1_MAL,MZB1_PTCRA,CDA_PRR5
ACRBP_ZAP70,PHACTR1_PTGS1,GZMB_MZB1,LY6G6F_RP11-367G6.3
EAF2_PGRMC1,FCGR2B_LITAF,P2RX5_RP11-367G6.3,LY6G6F_TREML1
S100A11_S100A8,ARHGAP24_FCRL6,FCRLA_S1PR5,GP1BA_LY6G6F
ACRBP_PLEKHF1,ARPC1B_CCL3,MAP3K7CL_XCL2,GZMA_S1PR5
HLA-DPB1_LGALS2,APOBEC3A_ARPC1B,ITGA2B_S1PR5,PRSS23_XCL1
COTL1_MZB1,KLRC1_NCR3,ARHGAP24_GNG11,LY6G6F_MYL9
HLA-DPA1_SPON2,CLIC3_COTL1,AKR1C3_S1PR5,CMTM5_LY6G6F
CD1C_NRGN,COTL1_HVCN1,PLEKHF1_TPM1,GZMA_SPARC
MARCH2_SPON2,CD1C_HLA-DPB1,GP9_S1PR5,GZMA_MYL9
CD247_MZB1,MARCH2_S100A8,PRSS23_RAMP1,LY6G6F_SPARC
CCL4_PPBP,S100A6_ZAP70,C2orf88_CLEC1B,GPR56_RAMP1
HLA-DQA1_SPIB,HINT1_PRF1,P2RX5_XCL2,GZMA_PKIG
IL1B_SNX29P2,MS4A1_SMCO4,LINC00926_PKIG,GNG11_RP11-367G6.3
GZMB_HVCN1,APOBEC3A_TNFRSF1B,FGFBP2_SPARC,AP001189.4_LY6G6F
ARHGAP24_FCRL6,CMTM5_PRR5,FGFBP2_TREML1,GZMA_RP11-367G6.3
AIF1_GIMAP7,KLRB1_TSC22D1,FCRL6_MYL9,GNG11_LINC00926
GZMK_NCR3,FOLR3_HLA-DMA,GP9_SEPT5,CMTM5_GNG11
CLEC1B_TSC22D1,LITAF_MS4A1,PKIG_S1PR5,GNG11_ITGA2B
HVCN1_LGALS1,KLRC1_KLRG1,FCRL6_ITGA2B,AP001189.4_GZMA
CCL5_CYBA,ADAM28_CMTM5,COTL1_MZB1,GZMA_KIAA0125
MYL9_TPM1,HLA-DQA1_PHACTR1,FCRL6_RAMP1,ITGA2B_LY6G6F
GZMB_PTGDR,ARHGAP24_CD72,CDA_PKIG,LY6G6F_S1PR5
CD9_CDA,HAVCR2_IGFBP7,AKR1C3_PRSS23,GNG11_MYL9
AQP3_KLRC1,ARPC1B_C5AR1,ITGA2B_RP11-367G6.3,CMTM5_GP9
NPC2_ZAP70,FOLR3_SPIB,AP001189.4_XCL1,GP1BA_RAMP1
IL32_PYCARD,TIGIT_TPM4,ARHGAP24_PKIG,KLRB1_NCR3
LST1_MZB1,ARHGAP24_GPX1,PLEKHF1_RP11-367G6.3,CDA_MAP3K7CL
LYAR_SNX29P2,ENHO_HLA-DMA,LY6G6F_RP11-367G6.3,GP1BA_XCL2
FCER1G_GZMK,HLA-DPB1_LGALS1,PGRMC1_PRR5,CD9_TMEM40
CDA_LY6G6F,PARVB_PTGDR,CD9_S1PR5,AP001189.4_XCL1
CDA_GPR56,IGSF6_LAMTOR1,GP9_PKIG,AP001189.4_CD9
FOLR3_MMD,GAS2L1_KLRC1,CLU_ITGA2B,GP1BA_GP9
FERMT3_PLEKHF1,ARPC5L_EFHD2,CLU_SPARC,TMEM40_XCL1
AIF1_TALDO1,CD37_HLA-DMA,ARHGAP24_XCL2,GZMB_PTCRA
GZMK_MFSD1,HAVCR2_LGALS1,CST7_TREML1,CD9_ITGA2B
CD9_PRR5,COTL1_PTCRA,AP001189.4_MYL9,KLRB1_KLRC1
FOLR3_HLA-DQB1,MS4A1_PTPRCAP,SDPR_TREML1,GPR56_MYL9
TIGIT_XCL2,FCER1G_SDPR,GNG11_PRR5,GP1BA_PRSS23
KLRG1_NCR3,CLIC3_LGALS1,CLU_XCL2,GPR56_S1PR5
HAVCR2_SNCA,CTSS_CTSW,F13A1_SEPT5,LINC00926_SEPT5
FCGR2B_SNX29P2,GZMK_KLRC1,TIGIT_XCL1,CMTM5_ZAP70
CDA_RAMP1,GYG1_MFSD1,LINC00926_RP11-367G6.3,CD9_LINC00926
AIF1_COTL1,MPP1_SMIM14,JAKMIP1_TSC22D1,GPR56_PKIG
CEBPB_S100A8,PTGS1_SNCA,LY6G6F_SEPT5,MYL9_SEPT5
C2orf88_KLRB1,PARVB_SPIB,AP001189.4_TMEM40,CD9_MYL9
C2orf88_TPM1,CMTM5_RGS18,GZMB_LGALS1,ITGA2B_SEPT5
HOPX_TYMP,PDIA3_UBB,GP9_TPM1,S1PR5_SEPT5
IFITM3_LGALS2,HLA-DQB1_S100A11,AKR1C3_SPARC,LINC00926_XCL1
ASGR1_EAF2,SPIB_TSC22D1,FGFBP2_SEPT5,AP001189.4_GPR56
CDA_SPARC,SRGN_TNFSF13B,CD79B_TPM1,CD9_S1PR5
LST1_PTCRA,GSN_PTGS1,SPARC_TMEM40,GP1BA_ZAP70
