GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
GAS2L1_KLRC1,JAKMIP1_SPIB,C2orf88_CD160,FCRL6_XCL2
SDPR_TREML1,MMD_S100A8,SEPT5_XCL1,AKR1C3_P2RX5
CA2_CLDN5,LYAR_MAL,GP9_XCL1,LINC00926_LY6G6F
LGALS3_TTC38,PGRMC1_S100A8,FCRLA_PTGDR,CMTM5_GP1BA
FCN1_TIGIT,PTCRA_TSC22D1,PRSS23_XCL1,PRSS23_XCL2
TIGIT_XCL1,HLA-DMA_HLA-DRB1,AKR1C3_XCL1,ITGA2B_PRSS23
LINC00926_RP11-367G6.3,SRGN_TALDO1,BLNK_CLEC1B,CD72_FCRL6
CD72_PTGDR,JAKMIP1_SWAP70,P2RX5_RP11-367G6.3,ADAM28_TIGIT
AP001189.4_PTCRA,NRGN_SNCA,GZMK_KLRC1,ADAM28_XCL2
ADAM28_XCL1,CD2_LYAR,CMTM5_XCL1,CLEC1B_MAL
GP1BA_TYROBP,ADAM28_ASGR1,C2orf88_RP11-367G6.3,PTGDR_RAMP1
MPP1_XCL2,ADAM28_PTGS1,SDPR_XCL1,HLA-DOB_ITGA2B
FCRLA_MZB1,PTGDR_TREML1,CD37_XCL2,AKR1C3_XCL2
CD160_CLEC1B,KLRG1_NCR3,CD1C_SERPINF1,ADAM28_AKR1C3
LGALS2_PKIG,HAVCR2_PTGS1,FCRLA_SERPINF1,P2RX5_XCL1
FCRLA_RP11-367G6.3,SPIB_SWAP70,P2RX5_PTGDR,LY6G6F_RP11-367G6.3
IFI30_LDLRAP1,BLVRA_LAMTOR1,C5AR1_KLRB1,AKR1C3_ITGA2B
KIAA0125_NCR3,LAT2_SPIB,IGLL5_P2RX5,CD160_RP11-367G6.3
GSTP1_TMEM40,ASGR1_GPR56,GNG11_XCL1,PLEKHF1_XCL2
IGLL5_RP11-367G6.3,PGRMC1_TUBB1,CD1C_CD72,PTGDR_TIGIT
LITAF_PLEKHF1,GSN_PLD4,FCER1A_SERPINF1,FCRL6_RAMP1
FCER1A_LY6G6F,AP001189.4_SERPINF1,GNG11_LY6G6F,PLEKHF1_XCL1
CLEC10A_RAMP1,JAKMIP1_MMD,KIAA0125_RP11-367G6.3,MYL9_PF4
C5orf56_HLA-DOB,GZMK_PLA2G12A,CD9_XCL1,RAMP1_XCL1
PYCARD_ZAP70,IL32_MS4A6A,PRSS23_PTGDR,ADAM28_CD72
C2orf88_HOPX,LGALS3_TYMP,MPP1_XCL2,ADAM28_FCRL6
GZMH_LY6G6F,CLEC1B_NCR3,GP9_LY6G6F,SEPT5_TREML1
RP11-367G6.3_S1PR5,CLEC10A_TREML1,PRF1_RP11-367G6.3,ADAM28_PRSS23
HLA-DPA1_HLA-DPB1,GPR56_PLBD1,CTSW_RP11-367G6.3,CMTM5_TIGIT
CLU_SEPT5,IGFBP7_PLBD1,FCRLA_LINC00926,SPARC_TREML1
LINC00926_PTGDR,KLRB1_S100A12,ASGR1_CD1C,P2RX5_XCL2
GPX1_KIAA0125,FOLR3_JAKMIP1,ADAM28_CST3,AP001189.4_ITGA2B
LDLRAP1_SEPT5,GIMAP5_NCR3,CD1C_PTGDR,P2RX5_PRSS23
HLA-DPB1_HLA-DQB1,GIMAP5_KLRG1,SAMD3_SERPINF1,AKR1C3_RP11-367G6.3
GP9_ITGA2B,FOLR3_SPIB,AQP3_CD160,ADAM28_ITGA2B
CLIC3_TMEM40,AC147651.3_GAS2L1,PRF1_SERPINF1,GZMH_PRSS23
CLDN5_CMTM5,GNG11_GZMH,FCRL6_PTGDR,CMTM5_LY6G6F
AKR1C3_XCL1,CD19_KIAA0125,CLEC10A_FCER1A,CD160_PNOC
CCL5_SDPR,CLEC1B_GIMAP5,SPON2_XCL2,GP9_SEPT5
