GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
GPR56_S100A6,CD247_TYMP,GP9_PRSS23,AC147651.3_PARVB
ARPC5L_MAFB,FOLR3_LDLRAP1,GNG11_IFITM3,FCGR2B_S100A6
CD79B_PPBP,MAL_S100A8,KIAA0125_P2RX5,FCGRT_NRGN
SRGN_SWAP70,GAS2L1_HINT1,LITAF_SPON2,BLNK_LINC00926
LGALS2_SPARC,CLEC10A_HLA-DPB1,FCRL6_PRF1,CMTM5_ZAP70
GSN_PTGDR,MZB1_PARVB,HLA-DQB1_S100A8,AC147651.3_AQP3
FCGR2B_GPR56,HLA-DRB1_TUBB1,CD247_GZMH,CD79A_IGLL5
CD19_HOPX,CST3_NRGN,ADAM28_IFITM3,GZMB_PRSS23
HLA-DMA_NCF2,HLA-DPB1_IFITM3,GZMB_XCL1,IGLL5_KLRB1
GSN_TPM1,CD247_S100A8,APOBEC3A_CLIC3,CD79A_GZMA
FGL2_S100A12,LYAR_MMD,CEBPB_LINC00926,ITGA2B_SAMD3
GSN_ITGA2B,S100A8_SRGN,CD1C_TYROBP,GSTP1_LGALS2
CD37_PRR5,FCRL6_HLA-DQB1,ASGR1_PLEKHF1,F13A1_P2RX5
FPR1_PDIA3,ADAM28_XCL1,BLNK_PF4,CD9_SPON2
C1orf162_IRF8,NCR3_TPM1,LGALS1_PKIG,AQP3_SERPINF1
HVCN1_PRF1,APOBEC3G_SRGN,ACRBP_PPBP,LAT2_PNOC
NCR3_S100A12,FCRLA_MZB1,ASGR1_HAVCR2,CCL4_XCL2
PTGS1_SAT1,HLA-DMA_LAMTOR1,C2orf88_GZMB,FCGR2B_PNOC
GPX1_ODC1,GYG1_NCF2,BLNK_CCL5,CLIC3_RAMP1
CA2_SAMD3,SDPR_SMIM14,FCGR3A_SPON2,ITGA2B_SNX29P2
APOBEC3G_GNG11,HLA-DMB_S100A11,HOPX_MYL9,C2orf88_CLEC1B
CA2_MAP3K7CL,ARPC5L_MAL,CLEC10A_GZMH,LINC00926_ZAP70
GPR56_SNCA,SPARC_TCL1A,SMIM14_XCL1,CCL4_PTGDR
CD247_CTSW,ARHGAP24_FERMT3,HLA-DRB1_VAMP8,IFITM3_TYMP
ACRBP_PTCRA,KIAA0125_S1PR5,ASGR1_CST7,HLA-DQA1_ID2
HLA-DMA_HLA-DQA1,GZMK_PNOC,CMTM5_MAP3K7CL,KIAA0125_SPON2
LDLRAP1_S100A12,HLA-DQA1_PLBD1,PTGDR_S100A6,CST7_SPON2
GSTP1_HLA-DPB1,MPP1_SDPR,CST7_GPX1,CCL4_S1PR5
NPC2_ZAP70,AC147651.3_LAT2,LAT2_TYROBP,FCRL6_MS4A1
LY6G6F_SAT1,SAMD3_XCL2,GP9_LINC00926,PRF1_SAMD3
MAP3K7CL_RGS18,LST1_ZAP70,H2AFY_IGFBP7,CCL4_PNOC
PNOC_S1PR5,LINC00926_SNX29P2,CST3_S100A8,FOLR3_SRGN
EAF2_LDLRAP1,AP001189.4_CLEC10A,C5AR1_NCOA4,CLDN5_TUBB1
PLBD1_ZAP70,ARPC5L_PNOC,LGALS1_TTC38,GNLY_GP9
CLU_GNG11,GNLY_IGLL5,AP001189.4_PRSS23,CD160_KLRG1
GIMAP5_S100A12,ENHO_MARCH2,H2AFY_TYMP,HLA-DOB_SEPT5
CD1C_FGFBP2,C1orf162_ID2,MZB1_PRSS23,SPON2_ZAP70
ALDH2_TPM4,CTSW_S1PR5,APOBEC3G_ARHGAP24,CD19_S1PR5
CEBPB_PHACTR1,BLVRA_MAFB,ARPC1B_LGALS1,AIF1_TYMP
LITAF_S100A6,CYBA_IL1B,GP1BA_LY6G6F,CD79A_SAMD3
GSN_NCR3,HINT1_PNOC,AP001189.4_CST3,GZMB_LY6G6F
ABI3_PGRMC1,PKIG_PRSS23,CCL3_LINC00936,FCRLA_PF4
C9orf142_FOLR3,ITGA2B_MZB1,C1orf162_FOLR3,ARHGAP24_CD79B
CD9_TIGIT,IGLL5_ODC1,FCRL6_LINC00926,GP1BA_SPON2
LINC00926_TCL1A,SAMD3_SERPINF1,ARPC5L_CD1C,FCRLA_HOPX
CMTM5_SAT1,C5orf56_SDPR,ARPC5L_HIST1H2AC,CST7_SPARC
CEBPB_HAVCR2,CLEC10A_SPARC,COTL1_GZMA,CD247_MS4A1
PKIG_ZAP70,CD9_SDPR,RGS18_SPARC,RAMP1_S1PR5
BLNK_GSN,CMTM5_LGALS2,PARVB_SRGN,F13A1_TMEM40
MZB1_TCL1A,LYAR_S100A8,LYAR_TYMP,CD19_FCGR2B
AIF1_FOLR3,IGFBP7_SMCO4,FCER1G_IFI30,CD160_HLA-DOB
GRN_H2AFY,ARHGAP24_CD72,GZMB_S100A6,H2AFY_HLA-DPB1
CCL3_TPM4,MZB1_SNX29P2,ARPC1B_FCGR3A,CA2_PTCRA
HLA-DMB_HLA-DPB1,FCGR2B_KLRG1,AP001189.4_MAL,BLNK_KIAA0125
GRN_S100A8,ARPC5L_KLRB1,IFITM3_LGALS2,CST7_KIAA0125
FCN1_VAMP8,FERMT3_HVCN1,RGS18_XCL2,FOLR3_SAT1
AC147651.3_PNOC,CA2_XCL2,HVCN1_TTC38,GNG11_PPBP
PDIA3_RGS18,CTSS_PDIA3,IRF8_ODC1,CD247_LY6G6F
S100A11_SPIB,PARVB_TTC38,ABI3_PLBD1,ADAM28_BLNK
P2RX5_PNOC,CDA_TYMP,ID2_SDPR,CD1C_PHACTR1
LGALS1_NRGN,CD19_RP11-367G6.3,GNG11_PLEKHF1,MS4A1_SPON2
GNLY_TPM1,HLA-DQB1_IGSF6,FCER1G_HINT1,LST1_TNFRSF1B
CD72_CTSW,ARHGAP24_CD79A,APOBEC3G_SPON2,PNOC_PRSS23
CD160_S100A12,DYNLL1_JAKMIP1,MS4A6A_TYMP,HLA-DOB_PRF1
LAT2_MAL,CD160_LITAF,COTL1_LST1,CD79B_TIGIT
ABI3_GPX1,C1orf162_GIMAP7,GSTP1_HLA-DRB1,CLIC3_CMTM5
HLA-DPA1_HLA-DQA1,CLEC10A_MFSD1,LINC00936_SAMD3,CLU_PPBP
CA2_TREML1,LINC00936_MAFB,LY6G6F_PRF1,CD160_XCL1
LTB_PHACTR1,ARHGAP24_PLEKHF1,HLA-DQB1_TYMP,AKR1C3_IGLL5
ACRBP_GZMK,PF4_S1PR5,P2RX5_PRSS23,CST3_FCGR2B
GRN_HLA-DQB1,ADAM28_LGALS2,GPX1_GRN,TCL1A_TUBB1
FCER1G_IFI30,GIMAP5_TPM1,DYNLL1_HLA-DMA,GPR56_IL32
BLNK_S1PR5,C2orf88_FCRLA,CD160_SDPR,C2orf88_CST3
GIMAP7_NCOA4,FCER1A_XCL2,CLDN5_FCN1,FOLR3_GZMK
XCL1_XCL2,IL1B_IL32,ID2_NCOA4,CD19_LY6G6F
LST1_ODC1,LY6G6F_PHACTR1,CST3_PRF1,CD19_SPON2
HVCN1_LAMTOR1,CLEC10A_MARCH2,BLVRA_SWAP70,CD9_PTPRCAP
CYBA_F13A1,APOBEC3G_GZMH,PRR5_PRSS23,CD160_TIGIT
CD79B_NPC2,HLA-DQB1_IFI30,AIF1_LINC00926,AP001189.4_MS4A1
LAMTOR1_PRF1,FCN1_HLA-DQB1,CLU_CST3,AKR1C3_JAKMIP1
LTB_TNFSF13B,IL32_TYROBP,PTPRCAP_XCL2,FOLR3_S100A6
HLA-DPA1_SAMD3,CD160_TSC22D1,CLU_FCER1G,MPP1_SPON2
CD72_FCRLA,FGL2_TYMP,APOBEC3A_GIMAP5,FCRLA_GZMA
FERMT3_SNX29P2,JAKMIP1_NCR3,CLEC10A_GP1BA,FGFBP2_S1PR5
C2orf88_GZMA,CD9_LGALS2,GNG11_S100A6,CD9_TIGIT
FCRL6_FGFBP2,CMTM5_SNCA,APOBEC3G_RAMP1,CLIC3_GP1BA
CA2_MMD,CA2_FCER1A,AIF1_MAL,CLIC3_GPR56
HLA-DPA1_PLD4,GIMAP7_PNOC,ADAM28_TIGIT,KLRG1_S100A12
EFHD2_MYL9,CD79B_GZMK,MS4A6A_S100A8,CTSW_GZMK
CCL4_CD247,PLD4_S1PR5,EAF2_HLA-DRB1,S100A6_SAT1
SAMD3_TUBB1,CD79B_MAFB,CA2_MYL9,GP9_JAKMIP1
FCER1A_SEPT5,IGSF6_PTPRCAP,CTSW_FCER1G,CCL3_IGFBP7
SAMD3_XCL2,LAMTOR1_LINC00936,IL32_PLEKHF1,CA2_SPARC
HINT1_TTC38,AIF1_IRF8,CLEC1B_SDPR,CCL4_GZMA
AP001189.4_FCRLA,CST3_HLA-DMB,ARHGAP24_HLA-DQA1,PRSS23_ZAP70
IFI30_MMD,GNG11_MARCH2,MFSD1_SAMD3,PTGDR_TTC38
CD1C_P2RX5,FERMT3_SNX29P2,SDPR_SPON2,ARHGAP24_CTSW
FGL2_ID2,AQP3_PTCRA,ABI3_GPX1,ARPC5L_JAKMIP1
FGL2_HLA-DQA1,IL1B_ZAP70,HLA-DPA1_ID2,KLRB1_PNOC
CLIC3_PRSS23,CCL3_IRF8,C9orf142_IL32,IL1B_LGALS2
CD2_NCR3,ARPC5L_BLNK,ARPC1B_PPBP,TMEM40_ZAP70
APOBEC3A_CCL3,CD79A_SNX29P2,GYG1_LST1,NCOA4_PRR5
LGALS1_MFSD1,ASGR1_XCL1,FOLR3_IL32,IGLL5_SPON2
GAS2L1_KLRG1,AKR1C3_GP9,AKR1C3_LDLRAP1,CD160_FOLR3
CLIC3_COTL1,C5orf56_GP9,FCGR3A_LST1,PTPRCAP_TMEM40
DYNLL1_MARCH2,C5AR1_LAMTOR1,PRSS23_TYROBP,GSN_MZB1
GNG11_XCL2,KIAA0125_RP11-367G6.3,RAMP1_TYMP,GNLY_TIGIT
HLA-DPB1_LINC00936,PLA2G12A_TPM1,IGFBP7_TIGIT,APOBEC3A_CCL3
FCGRT_LGALS3,GZMA_PNOC,C2orf88_GSN,HLA-DOB_TMEM40
HLA-DQA1_SMIM14,MZB1_P2RX5,KLRC1_S100A12,ITGA2B_S1PR5
PTPRCAP_SRGN,P2RX5_TTC38,IL32_TNFRSF1B,GAS2L1_PLA2G12A
AKR1C3_LST1,AKR1C3_PRSS23,COTL1_FCER1G,IGLL5_KLRC1
ABI3_SMCO4,LGALS2_TUBB1,IGLL5_KLRB1,NPC2_SERPINF1
GP9_PTGDR,LGALS2_PTGS1,LGALS3_VAMP8,F13A1_GZMH
F13A1_LY6G6F,CCL5_FCN1,DYNLL1_KIAA0125,GZMA_HOPX
HAVCR2_MS4A6A,LY6G6F_SDPR,GIMAP7_HOPX,GZMA_SNX29P2
GPX1_LGALS3,CLIC3_S1PR5,PPBP_S100A11,LGALS1_SAT1
PF4_S1PR5,CTSW_TALDO1,C5AR1_CD1C,AKR1C3_CD19
CD9_F13A1,CD19_HIST1H2AC,FCGRT_HLA-DOB,GP9_PF4
GAS2L1_KLRB1,CEBPB_ODC1,CCL3_GZMH,FOLR3_LGALS1
PKIG_TCL1A,CCL4_CD79A,CD247_TYMP,AP001189.4_CLU
ACRBP_TUBB1,CLDN5_SNCA,BLNK_CTSS,JAKMIP1_SEPT5
ASGR1_FCRL6,C2orf88_CCL4,BLNK_FCGR3A,ARHGAP24_PRF1
CEBPB_SMIM14,CD160_KIAA0125,CEBPB_GSN,MMD_NRGN
LAT2_SPIB,IRF8_PYCARD,HLA-DQB1_PKIG,LAT2_SWAP70
GZMK_SNCA,PKIG_SDPR,FCGR3A_TYROBP,PLEKHF1_SPARC
ID2_SPIB,LY6G6F_PRSS23,ENHO_GZMH,LGALS1_S100A6
ABI3_BLNK,CA2_SAMD3,CLU_MS4A6A,CTSS_FCGR3A
ASGR1_SNCA,ARPC1B_SAT1,ASGR1_S100A6,CD72_TTC38
CD1C_HAVCR2,TYROBP_UBB,FERMT3_PF4,SEPT5_SNX29P2
GP1BA_SWAP70,CD19_GZMK,CYBA_VAMP8,CD79B_CTSW
SDPR_TIGIT,MAP3K7CL_PARVB,AC147651.3_AQP3,F13A1_HLA-DOB
AC147651.3_MAL,AP001189.4_C1orf162,PDIA3_PYCARD,PKIG_SAMD3
GNG11_TREML1,FCRLA_S1PR5,CCL5_CD9,HLA-DQA1_KLRC1
ABI3_TUBB1,EFHD2_XCL2,C1orf162_HLA-DOB,GPR56_GZMA
FCER1G_LST1,HAVCR2_IRF8,FCER1A_SWAP70,AP001189.4_SEPT5
SDPR_XCL2,ARPC5L_HOPX,C9orf142_LGALS2,GP9_MS4A1
HLA-DMA_ZAP70,CMTM5_NRGN,CLEC10A_S100A11,AC147651.3_CLDN5
EFHD2_SAT1,ARHGAP24_TTC38,LAMTOR1_S100A6,CD247_GZMA
CYBA_GRN,CST3_RGS18,GSN_GZMA,MYL9_TREML1
CD9_CST3,CLIC3_PHACTR1,GRN_HLA-DPB1,CST7_TIGIT
GNG11_PRSS23,CD1C_CLEC10A,ARPC1B_S100A6,GP9_SPON2
LGALS1_MMD,PTPRCAP_SMIM14,CST3_SAT1,KLRC1_SNX29P2
ITGA2B_LAT2,ARHGAP24_MZB1,ITGA2B_PLEKHF1,GZMH_IL32
AKR1C3_SEPT5,FCGRT_LGALS3,GP9_HLA-DPA1,GPR56_SPARC
CEBPB_HLA-DPB1,GIMAP5_LAT2,ALDH2_TCL1A,HAVCR2_PPBP
GRN_MS4A6A,SNCA_TYMP,DYNLL1_TIGIT,IL32_TSC22D1
ID2_S100A12,CCL5_PLA2G12A,C1orf162_FCRL6,MAP3K7CL_MYL9
HLA-DRB1_PTCRA,ENHO_GP9,CST7_ITGA2B,GZMK_HOPX
GPR56_IGFBP7,CLDN5_GAS2L1,AC147651.3_HLA-DRB1,PRF1_TUBB1
ITGA2B_XCL2,C9orf142_RP11-367G6.3,FPR1_VAMP8,JAKMIP1_TMEM40
TREML1_TSC22D1,CLU_SDPR,GIMAP7_HLA-DPA1,GPR56_TMEM40
LST1_SMCO4,CTSW_FERMT3,CMTM5_GZMH,GSTP1_S100A8
S100A6_SMCO4,JAKMIP1_KLRG1,FCGR3A_PDIA3,GZMA_KIAA0125
PDIA3_TPM4,BLNK_GZMA,FCGR2B_FCN1,AP001189.4_TMEM40
GP1BA_LST1,PRF1_TALDO1,LGALS1_NCR3,MAP3K7CL_TREML1
KLRG1_PARVB,KIAA0125_PDIA3,CCL5_PF4,TREML1_XCL1
HLA-DQA1_TUBB1,PRF1_PTGDR,FOLR3_HLA-DPA1,SPARC_TCL1A
GP9_SAT1,LST1_SNCA,PLBD1_S100A12,CCL4_CTSW
BLVRA_PARVB,BLNK_HINT1,RGS18_TSC22D1,GNG11_ITGA2B
FCER1A_P2RX5,CMTM5_IRF8,CLIC3_S100A6,CD2_CD247
GAS2L1_PLA2G12A,AP001189.4_SAMD3,ALDH2_LDLRAP1,PF4_S1PR5
GSTP1_PTCRA,LGALS2_SMIM14,JAKMIP1_KLRC1,AP001189.4_CTSW
CD79B_LINC00936,IGLL5_KIAA0125,GZMA_GZMH,MYL9_PTCRA
ID2_MAP3K7CL,PGRMC1_S100A12,MPP1_SPON2,CD79A_SNX29P2
CD79B_MYL9,GSN_PHACTR1,EFHD2_S100A11,S100A12_TYROBP
HLA-DPA1_IGLL5,CA2_RAMP1,PLEKHF1_S1PR5,GZMB_XCL2
GZMK_NCR3,CA2_GYG1,GSN_PF4,CD79A_CMTM5
HLA-DQB1_MAFB,CD9_PHACTR1,S100A8_SRGN,CA2_SMIM14
FERMT3_SPIB,MARCH2_PHACTR1,GZMK_JAKMIP1,AP001189.4_CD79B
APOBEC3A_RGS18,PRSS23_PTPRCAP,IL1B_NRGN,CLDN5_TREML1
GSTP1_SNCA,CD79A_TALDO1,C9orf142_CST7,CLU_MAP3K7CL
C1orf162_C9orf142,F13A1_SNCA,CLEC10A_FOLR3,AP001189.4_RGS18
PTGS1_PYCARD,ENHO_PHACTR1,FCGRT_HLA-DRB1,ARHGAP24_S100A12
ACRBP_PF4,ENHO_TALDO1,PGRMC1_PTPRCAP,GZMK_SNX29P2
LINC00926_NRGN,CD72_MS4A1,CDA_MYL9,PKIG_ZAP70
CCL4_TYMP,CD79A_PF4,AKR1C3_GP1BA,F13A1_IL32
CD2_GYG1,FCER1A_SERPINF1,FCGR2B_MMD,CTSW_MS4A1
ALDH2_GSTP1,HLA-DPB1_SPIB,C5AR1_GZMH,CD79A_CLIC3
AQP3_TPM1,CD79B_GAS2L1,MAP3K7CL_TUBB1,MS4A6A_TYROBP
SNX29P2_TREML1,CLEC10A_HLA-DOB,ARPC5L_CCL4,AP001189.4_CLDN5
FPR1_PNOC,IL1B_SMIM14,GZMA_GZMB,NCOA4_SWAP70
ARPC5L_EAF2,CCL4_CD72,FCGR2B_GP1BA,IFITM3_SRGN
IL32_PYCARD,ENHO_S100A11,ENHO_LINC00926,MS4A1_RP11-367G6.3
C5AR1_CCL3,ADAM28_IRF8,LTB_VAMP8,IGLL5_S1PR5
RGS18_SDPR,MS4A1_PLEKHF1,CEBPB_FCN1,CA2_CLU
GPX1_SDPR,CMTM5_NPC2,COTL1_FCN1,CD247_F13A1
APOBEC3G_LYAR,CD19_S1PR5,ALDH2_CLEC10A,LINC00926_TMEM40
HIST1H2AC_S1PR5,PTGDR_TCL1A,AQP3_JAKMIP1,ASGR1_HLA-DQA1
ADAM28_GZMH,EAF2_SNCA,GZMB_TYROBP,APOBEC3G_CD72
GRN_MAFB,GZMA_P2RX5,CD9_CST3,CCL5_CD79A
FCGR3A_VAMP8,FERMT3_S1PR5,FCGR2B_IL32,KLRB1_SRGN
CDA_HLA-DQB1,ARPC1B_HLA-DMA,CLEC10A_GSTP1,FCRLA_PRF1
MARCH2_TNFSF13B,PRR5_TNFSF13B,HAVCR2_MS4A6A,GP9_GZMH
FCER1A_GZMH,GZMH_RGS18,GZMB_NKG7,P2RX5_ZAP70
FCN1_SMCO4,FGL2_HLA-DQB1,HLA-DRB1_TYROBP,CLEC10A_S100A6
PTGS1_TYMP,SNCA_TYROBP,LINC00926_SDPR,F13A1_MMD
C2orf88_CCL5,SMIM14_XCL2,CST7_SDPR,MYL9_TMEM40
CD2_KLRB1,CD247_PTGS1,ITGA2B_LAT2,PF4_TSC22D1
MS4A1_S1PR5,C9orf142_CCL4,SPIB_SRGN,CLIC3_ZAP70
C2orf88_KLRC1,PPBP_S1PR5,SEPT5_TPM1,ARPC5L_LDLRAP1
GNG11_TIGIT,CD79B_UBB,IRF8_PLEKHF1,APOBEC3G_PLEKHF1
CCL5_SPARC,ARHGAP24_TPM4,GPR56_S100A6,ADAM28_IL32
FPR1_GRN,CCL5_GAS2L1,GSN_XCL1,CMTM5_PRF1
PPBP_SNCA,C1orf162_PLD4,APOBEC3G_TCL1A,ADAM28_MS4A1
ASGR1_PLEKHF1,GZMK_TPM1,S1PR5_XCL2,CD79B_SNX29P2
C9orf142_IL32,SDPR_TIGIT,HLA-DMB_LST1,SRGN_TYROBP
FGFBP2_PTGDR,F13A1_SMCO4,CTSS_GZMA,CD247_XCL1
FGL2_SNX29P2,CD79A_MS4A1,SPIB_TYROBP,AKR1C3_BLNK
CD79B_CD9,CD72_SNX29P2,C1orf162_CLIC3,BLNK_TCL1A
H2AFY_KLRG1,CTSW_MZB1,F13A1_S100A11,APOBEC3G_PRF1
GNLY_MS4A1,HLA-DMB_HLA-DRB1,BLVRA_FCGR3A,SEPT5_TTC38
IL1B_PLEKHF1,EAF2_SMCO4,NCF2_SPON2,GYG1_SWAP70
LAMTOR1_SPARC,LAT2_LTB,GNLY_ITGA2B,FGFBP2_GP1BA
ABI3_PLBD1,CMTM5_RGS18,HLA-DMB_LINC00936,F13A1_PKIG
GNG11_PTCRA,HVCN1_S1PR5,TPM4_VAMP8,CD72_TUBB1
HLA-DPB1_LITAF,CST3_ZAP70,GP9_SAT1,F13A1_GZMA
PF4_PLA2G12A,KLRC1_LITAF,CD2_IGLL5,CD19_PRSS23
GZMK_PPBP,GAS2L1_PNOC,KLRB1_TYROBP,CD160_GNG11
S100A6_UBB,HLA-DMB_IL1B,FCRLA_HOPX,JAKMIP1_TIGIT
F13A1_TTC38,GP9_HLA-DQB1,FGL2_LINC00926,CD9_LINC00926
PTGDR_XCL1,CD19_PDIA3,P2RX5_S1PR5,GP1BA_LDLRAP1
FERMT3_ID2,FCGRT_SMIM14,GP9_SERPINF1,COTL1_HLA-DPA1
ABI3_AC147651.3,GNLY_SNX29P2,GP1BA_LGALS1,BLNK_IGLL5
HOPX_S1PR5,ARHGAP24_C2orf88,GNLY_LINC00936,MS4A6A_S100A8
ADAM28_SAT1,PRSS23_SERPINF1,FCER1A_SNCA,AQP3_LDLRAP1
AIF1_TNFSF13B,GIMAP7_KLRB1,CA2_MAP3K7CL,AC147651.3_TUBB1
CD2_CLDN5,IRF8_TYMP,BLNK_PNOC,HLA-DOB_SNX29P2
CD79A_PTGDR,FOLR3_LYAR,COTL1_S100A11,ADAM28_IGLL5
HIST1H2AC_PGRMC1,MPP1_TYMP,LYAR_S100A8,CD160_PKIG
CD72_KIAA0125,GSN_S1PR5,HLA-DMB_SDPR,BLVRA_HLA-DMA
CD2_ZAP70,CD247_LGALS3,GIMAP7_PRSS23,AIF1_C2orf88
CD37_PLD4,PF4_TTC38,GPX1_NRGN,CD1C_NPC2
HLA-DMA_LTB,PLD4_TMEM40,CDA_PNOC,MS4A1_PTGDR
MFSD1_SPIB,CA2_HLA-DOB,C2orf88_PF4,GP1BA_PRF1
AC147651.3_FOLR3,CEBPB_TSC22D1,MFSD1_SNCA,FCER1G_SRGN
SDPR_TYROBP,GZMH_XCL2,MARCH2_SWAP70,CD160_HLA-DQA1
LGALS1_TNFSF13B,CA2_SPARC,CD37_IGFBP7,GSTP1_HLA-DRB1
IGLL5_SAMD3,FPR1_ZAP70,BLVRA_HLA-DQB1,BLNK_CLIC3
PF4_RP11-367G6.3,F13A1_IRF8,FCN1_VAMP8,FCRL6_IGLL5
CTSW_TYMP,MS4A1_TTC38,LINC00936_VAMP8,MS4A1_RAMP1
HLA-DQA1_PKIG,ENHO_PRSS23,AIF1_APOBEC3A,BLVRA_HLA-DQB1
FPR1_MMD,FERMT3_LINC00926,FGFBP2_GZMA,MMD_PTCRA
NRGN_SPARC,FPR1_SRGN,CST3_FCGR2B,CD19_CD79A
HLA-DQA1_ODC1,CD72_FGFBP2,AIF1_C9orf142,GZMA_ITGA2B
APOBEC3A_CYBA,C9orf142_XCL2,HAVCR2_JAKMIP1,ITGA2B_JAKMIP1
CD160_ITGA2B,GZMA_SPON2,ITGA2B_S100A6,GZMH_SEPT5
CEBPB_LYAR,CCL4_PLEKHF1,C5orf56_FCER1G,HLA-DOB_SPON2
APOBEC3A_PARVB,F13A1_HLA-DMB,IL1B_SEPT5,MZB1_NPC2
H2AFY_TNFRSF1B,CDA_LAMTOR1,GSTP1_ITGA2B,CLDN5_SDPR
NCF2_PTGS1,AIF1_RGS18,C2orf88_FCGR3A,CD19_CTSW
APOBEC3A_PGRMC1,HINT1_KIAA0125,ACRBP_TMEM40,CLEC10A_NPC2
COTL1_IRF8,ASGR1_IL1B,LST1_TYROBP,CST3_CTSS
CTSW_RAMP1,BLVRA_LINC00936,AP001189.4_XCL2,COTL1_PLD4
CMTM5_SWAP70,CD79A_PARVB,CA2_HLA-DMA,AQP3_CLDN5
LST1_TCL1A,S1PR5_TPM4,C5orf56_PRF1,ALDH2_LGALS2
AKR1C3_GZMH,ABI3_LINC00936,AKR1C3_CST3,KIAA0125_LAT2
CD9_CST7,BLVRA_HLA-DQA1,ACRBP_GPX1,HLA-DMB_KLRG1
CDA_TPM1,AC147651.3_HINT1,CD1C_RAMP1,SNX29P2_TTC38
CLEC10A_XCL2,CD19_MYL9,H2AFY_TREML1,AP001189.4_F13A1
AC147651.3_HAVCR2,NKG7_PDIA3,KLRG1_TYROBP,FCRLA_PNOC
ARHGAP24_TPM4,S1PR5_TREML1,ADAM28_HLA-DPA1,GNG11_RP11-367G6.3
CA2_PGRMC1,LGALS3_NKG7,HLA-DMB_TTC38,LST1_TYMP
CLEC10A_MZB1,GZMA_HVCN1,GSTP1_HLA-DMA,GNG11_SPARC
SERPINF1_XCL2,ENHO_GYG1,HLA-DRB1_TCL1A,CLU_LDLRAP1
LGALS3_S100A8,CD160_LDLRAP1,CEBPB_IFITM3,AKR1C3_SPARC
IGLL5_PLD4,FERMT3_IGLL5,CD247_S100A6,CTSW_GPR56
ENHO_XCL1,LINC00936_TNFRSF1B,CCL3_MS4A6A,CD247_CST7
CD79A_GSN,LGALS2_MS4A6A,MZB1_PRF1,GZMB_NKG7
ALDH2_IGFBP7,C5AR1_FPR1,ASGR1_TYROBP,LST1_PHACTR1
CLU_PTCRA,PRSS23_SMIM14,GZMB_S1PR5,FCRL6_IL32
FCN1_FCRLA,FERMT3_MYL9,APOBEC3A_FPR1,PRSS23_TUBB1
LAT2_RGS18,PRR5_S100A6,CD79B_GZMB,AKR1C3_TTC38
CCL3_FOLR3,CD9_PRSS23,FCGR3A_GRN,CD19_FGFBP2
GNLY_GP9,AC147651.3_FCGR2B,C5orf56_GZMA,FCRLA_MAP3K7CL
COTL1_SWAP70,IFI30_PDIA3,PLEKHF1_RAMP1,FCGR2B_TYMP
GNG11_GP1BA,IRF8_PGRMC1,GNLY_GZMB,ARPC1B_COTL1
AC147651.3_PARVB,NRGN_PGRMC1,FCER1G_H2AFY,GPR56_JAKMIP1
EAF2_ODC1,CYBA_SWAP70,CCL5_GZMK,CCL4_GPR56
CLDN5_CLEC1B,HOPX_SNX29P2,KIAA0125_PF4,CD2_ZAP70
AQP3_GZMK,CCL4_TTC38,GPX1_TMEM40,KLRC1_KLRG1
FCGR2B_MAL,MZB1_SPON2,CA2_KLRB1,HLA-DPA1_HLA-DRB1
FCGRT_RAMP1,TREML1_TTC38,FCRLA_SDPR,CEBPB_FERMT3
HLA-DMA_LGALS2,HLA-DQA1_SMIM14,KLRC1_SDPR,CCL4_FCRLA
ARPC1B_CD79B,HAVCR2_IL32,CCL4_GZMA,SEPT5_SPON2
AQP3_GNLY,AP001189.4_CLU,HLA-DPB1_LINC00926,CTSW_ITGA2B
APOBEC3A_FCGR3A,CEBPB_HAVCR2,NCOA4_TYROBP,CD160_FCRL6
GYG1_S100A12,ACRBP_KLRB1,SRGN_VAMP8,GNG11_KLRC1
FCER1A_PLEKHF1,MZB1_RP11-367G6.3,PLD4_TSC22D1,FCRL6_KIAA0125
GAS2L1_PTCRA,CA2_FCGRT,AQP3_FGL2,CD247_CMTM5
FCGR3A_TALDO1,FERMT3_SPON2,LAMTOR1_RAMP1,AP001189.4_CLIC3
KIAA0125_S1PR5,FOLR3_KLRB1,GNLY_KLRG1,JAKMIP1_TUBB1
FGL2_HLA-DMB,AKR1C3_LY6G6F,CD160_CTSW,GPR56_TREML1
CEBPB_SNCA,MS4A1_MZB1,CCL3_KIAA0125,FCN1_S100A8
LAMTOR1_SMCO4,EFHD2_PRSS23,IL1B_LGALS1,GZMA_SAMD3
IGFBP7_MAL,GYG1_MAFB,KLRG1_MAL,SDPR_TPM1
FCGR3A_LINC00936,HLA-DMB_SMCO4,BLVRA_PARVB,CYBA_LST1
ABI3_MS4A1,BLNK_GAS2L1,CD1C_CEBPB,PPBP_TPM1
GZMB_NKG7,FCRLA_PRF1,CCL5_S1PR5,KLRC1_LYAR
AC147651.3_CD19,PLEKHF1_SNX29P2,CLEC10A_SEPT5,CD9_FCRL6
COTL1_NKG7,H2AFY_PKIG,IGSF6_LTB,GZMB_SNCA
CD79A_LINC00926,APOBEC3A_GIMAP5,IGFBP7_PLEKHF1,CD79A_GZMH
GP1BA_NPC2,CLEC10A_S1PR5,CLEC1B_HLA-DPA1,AP001189.4_PF4
