GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
PTPRCAP_S100A4,TCL1A_VPREB3,RPL30_RPS28,BLK_CST7
RPL13A_SH2D2A,GZMM_TSPAN13,RPL13_RPS18,AC092580.4_NCR3
PDLIM1_S100A4,EAF2_GZMH,RPL10_RPS18,AC092580.4_LAG3
HLA-DPB1_HLA-DRB5,RPL13_RPS18,HLA-DRA_S100A8,FGFBP2_VPREB3
RPS14_SH2D2A,GPX1_S100A9,CCR7_LCK,GZMK_KIAA0125
GZMA_KIAA0125,FTL_LST1,EEF1A1_RPS14,CD8B_NCR3
S100A4_S100A6,CD79B_KIAA0125,CD3D_SH2D1A,GZMM_TSPAN13
GRN_GZMK,FGFBP2_FTL,RPL32_RPS6,CD8A_KIAA0125
APMAP_KIAA0125,HLA-DPB1_HLA-DQA1,RPLP2_RPS18,FCRL6_GZMH
CD37_SPIB,SAMD3_TSPAN13,CD3E_LTB,CST7_TCL1A
MARCH1_SH2D1A,GZMH_PTPRCAP,MARCH1_SPIB,FCER2_GZMA
BANK1_TSPAN13,HLA-DRA_HLA-DRB5,CD3D_LTB,FCRL6_LINC00926
S100A8_TSPO,IL32_LYZ,CCR7_SPIB,KIAA0125_TCL1A
HVCN1_PDLIM1,FTL_TYROBP,RPL32_RPS4X,BLK_LAG3
S100A9_TSPO,RPS15A_RPS27,CCR7_CD3E,GZMM_PKIG
GZMH_TYROBP,PTPRCAP_S100A6,RPS18_RPS6,CD72_FCER2
C12orf75_FCRLA,CFD_LAG3,CD3E_SPIB,FCRL6_PDLIM1
PRF1_TSPAN13,PTPRCAP_S100A4,RPS27_RPS27A,FCER2_PKIG
CST7_FCRLA,CD247_TYROBP,CYB561A3_MARCH1,BLK_CD79A
RPL10_RPL13A,CDA_NCR3,LTB_SPIB,CD79A_FCRLA
RPLP0_RPS5,CHST12_CST3,IRF8_LCK,CD8A_NCR3
GABARAP_TIGIT,HOPX_TSPAN13,HLA-DPA1_HLA-DRB1,CD72_FGFBP2
CST7_TIGIT,CXCR4_S100A4,CCR7_MARCH1,FCRLA_SAMD3
HLA-DPA1_HLA-DRB1,CD74_S100A8,LCK_LTB,CST7_PKIG
PTPRCAP_S100A6,CXCR4_S100A6,RPL13A_RPS4X,BLK_FCRL6
BLK_KIAA0125,HLA-DPB1_HLA-DRB1,IL32_LCK,BLK_VPREB3
LST1_RPS12,FCRLA_KIAA0125,RPLP0_RPS5,CD72_LINC00926
FGFBP2_FTL,MATK_TSPAN13,CD3E_MARCH1,FCRL6_HLA-DOB
NPC2_PDLIM1,FGFBP2_FTH1,FCN1_LYZ,FCRLA_GZMA
FCRLA_KLRG1,AP1S2_LAG3,RPL3_RPS6,KIAA0125_LINC00926
RPL14_SH2D2A,S100A6_S100A8,HLA-DRA_S100A9,CD8B_LAG3
IL32_TYROBP,FCGRT_LAG3,CCR7_CYB561A3,FCRLA_MATK
CD8A_LAG3,CD72_CST7,LTB_MARCH1,GZMH_TIGIT
CYB561A3_LAG3,RPL21_RPS3A,RPL23A_RPS27A,FCRL6_SAMD3
CD72_TCL1A,GZMH_S100A4,CYB561A3_SPIB,CST7_FCER2
LYZ_P2RX5,ISG20_S100A9,CD3D_IRF8,HOPX_MATK
CD8B_NCR3,CHST12_S100A6,RPL13_TPT1,BLK_CD8A
FTL_LST1,GZMH_S100A6,CD3D_IL32,CD72_HLA-DOB
