GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
AIF1_HLA-DRA,CD68_CFP,RARRES3_SH2D2A,BRI3_CFP
LYAR_SH2D2A,B2M_CDA,RPL32_RPL35A,CD8B_LYAR
GZMM_PRF1,NCF2_RPS27A,FCER2_TSPAN13,CCL4_KLRG1
CD79A_MS4A6A,RPL9_RPS27,CD8A_LAG3,CFD_FCN1
RPL31_RPS18,CDA_CFP,CD8B_IL7R,CD8B_SH2D2A
RPL21_RPS27A,CD74_HLA-DQB1,RPS20_RPS25,MATK_SH2D2A
AP1S2_CD2,CDA_TIGIT,NOSIP_SH2D2A,CST7_PRF1
FCER1G_TYROBP,C12orf75_FTH1,RPL10A_RPS3,CDA_SERPINA1
AC092580.4_GZMK,CDA_CST3,CCR7_MARCH1,CST7_LAG3
CD68_LST1,RPL31_RPS18,C12orf75_PKIG,BRI3_MS4A6A
RPS10_TIGIT,CD68_CFD,APMAP_HOPX,KLRG1_LYAR
CD68_HLA-DRA,HLA-B_HLA-C,APMAP_PNOC,CD14_FCN1
RPS27_RPS3A,HLA-DRB1_LGALS2,CST7_CTSW,CDA_TYMP
FCGRT_RPS15A,CFD_FCER1G,IL7R_KLRG1,GZMK_KLRG1
CD68_CDA,LCK_S100A11,CCL5_NKG7,KLRG1_SH2D2A
HLA-DPA1_LGALS2,CFD_TYROBP,IL7R_NCR3,CD14_CD68
LGALS2_MS4A6A,RPS27_RPS3A,AC092580.4_CD3E,CD14_CEBPD
BRI3_CD8A,GZMA_HLA-DPB1,ARPC5L_SH2D2A,CEBPD_CFD
CFD_FCER1G,CDA_FCER1G,CCL4_CTSW,CCL4_LAG3
NPM1_TKT,EAF2_GZMA,LYAR_MARCH1,CDA_HLA-DRA
RPL10A_SH2D2A,CFD_FCN1,CTSW_TSPAN13,PRF1_SAMD3
CD14_CDA,FGFBP2_GZMA,RPL10_RPLP0,AIF1_MS4A6A
BRI3_CDA,RPL10_RPS6,CD3E_LCK,CD74_HLA-DRB1
CST3_LST1,FCGRT_RPS15A,RPS3A_RPS5,AC092580.4_SH2D2A
CD68_CD74,BRI3_HLA-DRA,RPL18A_TPT1,GZMA_NKG7
NPC2_RPS4X,GPX1_LGALS3,CST3_TIGIT,GZMA_PRF1
RPL13_RPS29,HLA-DMA_HLA-DRA,HCST_LGALS2,AC092580.4_LYAR
GZMH_SH2D2A,GZMM_RPL27A,RPS10_RPS11,CD74_CDA
RPS27A_RPS3A,RPL13_RPS6,CYB561A3_S100A8,CD14_FCER1G
HLA-DPA1_HLA-DRB5,COTL1_TIGIT,CD8B_KLRG1,GZMH_TIGIT
AC092580.4_CD8B,RPS14_TCL1A,HLA-DOB_SAMD3,CDA_NCF2
CD37_SH2D1A,LCK_MS4A6A,CTSW_FCER2,CFP_LGALS2
RPS13_SH2D1A,CD72_RPS20,CD8B_NCR3,CD68_FCN1
CD247_MS4A6A,GZMA_HLA-DRA,RPL10_RPS11,CD74_CFD
CHST12_LYAR,RPS27A_RPS3A,CD8A_NOSIP,CD14_CD74
HLA-DMB_SH2D1A,RPL36_RPS3A,CD8A_SH2D2A,LGALS3_SERPINA1
CCL5_GZMK,CD14_HLA-DRA,CD2_MARCH1,AIF1_FCER1G
HLA-DPA1_HLA-DRB1,AIF1_CST3,CD99_RARRES3,CD8A_GZMK
MS4A1_RPL35A,RPL30_RPS3A,RPL10_RPS14,CD247_CD3D
FTL_PRF1,BRI3_LGALS3,CD2_NCR3,CD3D_SH2D1A
